"","react_id","direction","sample_id","mfa_sampling_ave","mfa_sampling_var","mfa_sampling_lb","mfa_sampling_ub"
"1","3OAR100","fwd","WT1","0.28339622399999997","5.2900000000000002E-6","0.280026149","0.28834073100000002"
"2","3OAR100","fwd","WT1","0.28339622399999997","5.2900000000000002E-6","0.280026149","0.28834073100000002"
"3","3OAR100","fwd","WT2","0.29924500700000001","1.1399999999999999E-5","0.29512635999999998","0.30742483199999998"
"4","3OAR100","fwd","WT2","0.29924500700000001","1.1399999999999999E-5","0.29512635999999998","0.30742483199999998"
"5","3OAR120","fwd","WT1","0.154020041","1.5600000000000001E-6","0.15218847399999999","0.156707279"
"6","3OAR120","fwd","WT2","0.16263353","3.36E-6","0.16039513","0.16707909700000001"
"7","3OAR120","fwd","WT1","0.154020041","1.5600000000000001E-6","0.15218847399999999","0.156707279"
"8","3OAR120","fwd","WT2","0.16263353","3.36E-6","0.16039513","0.16707909700000001"
"9","3OAR121","fwd","WT2","0.13661147700000001","2.3700000000000002E-6","0.13473123000000001","0.140345735"
"10","3OAR121","fwd","WT2","0.13661147700000001","2.3700000000000002E-6","0.13473123000000001","0.140345735"
"11","3OAR121","fwd","WT1","0.12937618300000001","1.1000000000000001E-6","0.12783767500000001","0.13163345200000001"
"12","3OAR121","fwd","WT1","0.12937618300000001","1.1000000000000001E-6","0.12783767500000001","0.13163345200000001"
"13","3OAR140","fwd","WT2","0.15484526000000001","3.05E-6","0.15271405299999999","0.159077935"
"14","3OAR140","fwd","WT2","0.15484526000000001","3.05E-6","0.15271405299999999","0.159077935"
"15","3OAR140","fwd","WT1","0.146644258","1.42E-6","0.14490040200000001","0.14920280799999999"
"16","3OAR140","fwd","WT1","0.146644258","1.42E-6","0.14490040200000001","0.14920280799999999"
"17","3OAR141","fwd","WT1","0.12937618300000001","1.1000000000000001E-6","0.12783767500000001","0.13163345200000001"
"18","3OAR141","fwd","WT2","0.13661147700000001","2.3700000000000002E-6","0.13473123000000001","0.140345735"
"19","3OAR141","fwd","WT2","0.13661147700000001","2.3700000000000002E-6","0.13473123000000001","0.140345735"
"20","3OAR141","fwd","WT1","0.12937618300000001","1.1000000000000001E-6","0.12783767500000001","0.13163345200000001"
"21","3OAR160","fwd","WT2","0.115903908","1.7099999999999999E-6","0.11430867","0.119072127"
"22","3OAR160","fwd","WT1","0.10976534","7.9299999999999997E-7","0.10846003899999999","0.111680452"
"23","3OAR160","fwd","WT2","0.115903908","1.7099999999999999E-6","0.11430867","0.119072127"
"24","3OAR160","fwd","WT1","0.10976534","7.9299999999999997E-7","0.10846003899999999","0.111680452"
"25","3OAR161","fwd","WT2","0.13661147700000001","2.3700000000000002E-6","0.13473123000000001","0.140345735"
"26","3OAR161","fwd","WT1","0.12937618300000001","1.1000000000000001E-6","0.12783767500000001","0.13163345200000001"
"27","3OAR161","fwd","WT1","0.12937618300000001","1.1000000000000001E-6","0.12783767500000001","0.13163345200000001"
"28","3OAR161","fwd","WT2","0.13661147700000001","2.3700000000000002E-6","0.13473123000000001","0.140345735"
"29","3OAR180","fwd","WT1","NA","NA","NA","NA"
"30","3OAR180","fwd","WT1","NA","NA","NA","NA"
"31","3OAR180","fwd","WT2","NA","NA","NA","NA"
"32","3OAR180","fwd","WT2","NA","NA","NA","NA"
"33","3OAR181","fwd","WT2","4.6462082000000002E-2","2.7399999999999999E-7","4.5822603000000003E-2","4.7732116999999998E-2"
"34","3OAR181","fwd","WT1","4.4001330999999998E-2","1.2700000000000001E-7","4.3478078000000003E-2","4.4769035999999998E-2"
"35","3OAR181","fwd","WT2","4.6462082000000002E-2","2.7399999999999999E-7","4.5822603000000003E-2","4.7732116999999998E-2"
"36","3OAR181","fwd","WT1","4.4001330999999998E-2","1.2700000000000001E-7","4.3478078000000003E-2","4.4769035999999998E-2"
"37","3OAR40","fwd","WT2","0.29924787400000002","1.1399999999999999E-5","0.29512918700000002","0.30742777599999999"
"38","3OAR40","fwd","WT1","0.28339893900000002","5.2900000000000002E-6","0.28002883099999998","0.28834349300000001"
"39","3OAR40","fwd","WT2","0.29924787400000002","1.1399999999999999E-5","0.29512918700000002","0.30742777599999999"
"40","3OAR40","fwd","WT1","0.28339893900000002","5.2900000000000002E-6","0.28002883099999998","0.28834349300000001"
"41","3OAR60","fwd","WT2","0.29924787400000002","1.1399999999999999E-5","0.29512918700000002","0.30742777599999999"
"42","3OAR60","fwd","WT1","0.28339893900000002","5.2900000000000002E-6","0.28002883099999998","0.28834349300000001"
"43","3OAR60","fwd","WT1","0.28339893900000002","5.2900000000000002E-6","0.28002883099999998","0.28834349300000001"
"44","3OAR60","fwd","WT2","0.29924787400000002","1.1399999999999999E-5","0.29512918700000002","0.30742777599999999"
"45","3OAR80","fwd","WT2","0.29924787400000002","1.1399999999999999E-5","0.29512918700000002","0.30742777599999999"
"46","3OAR80","fwd","WT1","0.28339893900000002","5.2900000000000002E-6","0.28002883099999998","0.28834349300000001"
"47","3OAR80","fwd","WT2","0.29924787400000002","1.1399999999999999E-5","0.29512918700000002","0.30742777599999999"
"48","3OAR80","fwd","WT1","0.28339893900000002","5.2900000000000002E-6","0.28002883099999998","0.28834349300000001"
"49","3OAS121","fwd","WT2","0.13661147700000001","2.3700000000000002E-6","0.13473123000000001","0.140345735"
"50","3OAS121","fwd","WT2","0.13661147700000001","2.3700000000000002E-6","0.13473123000000001","0.140345735"
"51","3OAS121","fwd","WT1","0.12937618300000001","1.1000000000000001E-6","0.12783767500000001","0.13163345200000001"
