gerosa_et_al_2015_metabolite_id,bigg.metabolite_id,condition,mean_umol_gDW,std_umol_gDW
pyr,pyr,Galactose,7.244451373,3.766862803
fdp,fdp,Galactose,0.815181441,0.034664092
e4p,e4p,Galactose,0.056030639,0.001543814
r5p,r5p,Galactose,0.094063947,0.01677557
ru5p-D,ru5p__D,Galactose,0.466207992,0.083585365
s7p,s7p,Galactose,2.658991998,0.258581325
xu5p-D,xu5p__D,Galactose,0.432062158,0.074084496
cit,cit,Galactose,1.292069629,0.064840511
akg,akg,Galactose,0.196044027,0.039934697
fum,fum,Galactose,0.548544302,0.079676446
icit,icit,Galactose,0.036949256,0.001512777
mal-L,mal__L,Galactose,1.588378501,0.058331293
succ,succ,Galactose,2.382792617,1.467316236
cAMP,camp,Galactose,0.007389409,0.00114311
f1p,f1p,Galactose,0.048202106,0.005950284
gal1p,gal1p,Galactose,0.1382421,0.016041575
glyc3p,glyc3p,Galactose,0.578014536,0.042971985
adp,adp,Glucose,1.390608458,0.016965999
amp,amp,Glucose,1.109103142,0.056618516
atp,atp,Glucose,7.933020791,0.155458505
glu,glu__L,Glucose,70.49837364,1.12062235
gln,gln__L,Glucose,5.588326668,0.056587187
asn,asn__L,Glucose,0.862338783,0.021707569
asp,asp__L,Glucose,3.215214196,0.135983348
tyr,tyr__L,Glucose,0.19241582,0.007798269
arg,arg__L,Glucose,5.981921485,1.270424208
ade,ade,Glucose,0.031144287,0.01121079
phe,phe__L,Glucose,0.253335902,0.019757014
gdp,gdp,Glucose,0.767199463,0.007579252
gmp,gmp,Glucose,0.398232974,0.117858405
gtp,gtp,Glucose,3.146947762,0.158515163
nad,nad,Glucose,4.859470483,0.282534304
nadh,nadh,Glucose,0.063054799,0.003011845
nadp,nadp,Glucose,0.025962857,0.00077245
nadph,nadph,Glucose,0.261950608,0.021157694
13dpg,13dpg,Glucose,0.116826709,0.004371148
2ddg6p,2ddg6p,Glucose,0.026465176,0.001889103
f6p,f6p,Glucose,0.772724616,0.066810007
dhap,dhap,Glucose,3.036664393,0.198602804
g6p,g6p,Glucose,2.183069534,0.04122417
6pgc,6pgc,Glucose,0.640639263,0.103999367
pep,pep,Glucose,0.812262741,0.182038676
pyr,pyr,Glucose,3.231854393,0.800223543
fdp,fdp,Glucose,2.670203673,0.052587011
e4p,e4p,Glucose,0.061264618,0.00071617
r5p,r5p,Glucose,0.529526156,0.144976754
ru5p-D,ru5p__D,Glucose,1.51513884,0.085733656
s7p,s7p,Glucose,8.271531943,0.058994416
xu5p-D,xu5p__D,Glucose,1.36761284,0.099633345
cit,cit,Glucose,1.616583747,0.148863872
akg,akg,Glucose,1.464981774,0.214242146
fum,fum,Glucose,1.260957172,0.200114343
icit,icit,Glucose,0.018770006,0.004582616
mal-L,mal__L,Glucose,3.876287625,0.168394761
succ,succ,Glucose,2.726248376,0.44497902
cAMP,camp,Glucose,0.004001028,0.001084186
f1p,f1p,Glucose,0.298226487,0.02403251
gal1p,gal1p,Glucose,0.04441267,0.00869444
glyc3p,glyc3p,Glucose,0.246960057,0.023458199
adp,adp,Glycerol,0.845570858,0.006394571
amp,amp,Glycerol,0.692772021,0.012530569
atp,atp,Glycerol,4.767318436,0.233617729
glu,glu__L,Glycerol,61.24896207,2.100346943
gln,gln__L,Glycerol,4.336516378,0.099614564
asn,asn__L,Glycerol,0.661614742,0.215557164
asp,asp__L,Glycerol,3.028524077,1.381000071
tyr,tyr__L,Glycerol,0.408498518,0.394804836
arg,arg__L,Glycerol,5.968369184,0.663753633
ade,ade,Glycerol,0.015557303,0.000969587
phe,phe__L,Glycerol,0.197545587,0.007332501
gdp,gdp,Glycerol,0.433271054,0.0130875
gmp,gmp,Glycerol,0.151254777,0.011599363
gtp,gtp,Glycerol,2.028638743,0.018755255
nad,nad,Glycerol,4.39565881,0.263730385
nadh,nadh,Glycerol,0.163044899,0.027571604
nadp,nadp,Glycerol,0.020279989,0.000876132
nadph,nadph,Glycerol,0.168363872,0.008081405
13dpg,13dpg,Glycerol,0.081226872,0.011587395
2ddg6p,2ddg6p,Glycerol,0.014321506,0.002501992
f6p,f6p,Glycerol,0.479855486,0.074581739
dhap,dhap,Glycerol,4.053907373,0.25344931
g6p,g6p,Glycerol,0.614674493,0.087567166
6pgc,6pgc,Glycerol,0.064434077,0.031387739
pep,pep,Glycerol,0.71821709,0.218780474
pyr,pyr,Glycerol,4.647649311,2.113990794
fdp,fdp,Glycerol,2.386953931,0.137520539
e4p,e4p,Glycerol,0.04830635,0.013560735
r5p,r5p,Glycerol,0.118573893,0.02182401
ru5p-D,ru5p__D,Glycerol,0.296390429,0.03701743
s7p,s7p,Glycerol,3.037074705,0.434056015
xu5p-D,xu5p__D,Glycerol,0.280140214,0.034151852
cit,cit,Glycerol,0.8384898,0.054789285
akg,akg,Glycerol,0.951690089,0.098429746
fum,fum,Glycerol,0.738039324,0.142070954
icit,icit,Glycerol,0.018784266,0.003996077
mal-L,mal__L,Glycerol,2.117185857,0.163639773
succ,succ,Glycerol,1.414035083,0.122481882
cAMP,camp,Glycerol,0.011779471,0.000812191
f1p,f1p,Glycerol,0.072681934,0.012318262
gal1p,gal1p,Glycerol,0.052006376,0.019482398
glyc3p,glyc3p,Glycerol,2.706330401,0.094427748
adp,adp,Gluconate,0.848235724,0.037678728
amp,amp,Gluconate,0.670255858,0.008307298
atp,atp,Gluconate,4.641133522,0.080460328
glu,glu__L,Gluconate,59.25272633,1.777716602
gln,gln__L,Gluconate,4.966334288,0.172517989
asn,asn__L,Gluconate,0.616320855,0.0393014
asp,asp__L,Gluconate,2.771078696,0.138796326
tyr,tyr__L,Gluconate,0.133043072,0.010698379
arg,arg__L,Gluconate,4.15251133,1.085760827
ade,ade,Gluconate,0.037160836,0.006316665
phe,phe__L,Gluconate,0.16003423,0.022221329
gdp,gdp,Gluconate,0.460142997,0.033864284
gmp,gmp,Gluconate,0.133124707,0.053394971
gtp,gtp,Gluconate,2.160851757,0.088943063
nad,nad,Gluconate,4.208732943,0.116443551
nadh,nadh,Gluconate,0.060161266,0.003522637
nadp,nadp,Gluconate,0.015306292,0.000607078
nadph,nadph,Gluconate,0.237227315,0.042825603
13dpg,13dpg,Gluconate,0.102219456,0.017998623
2ddg6p,2ddg6p,Gluconate,0.036055344,0.00358321
f6p,f6p,Gluconate,0.577050013,0.034629027
dhap,dhap,Gluconate,2.406782678,0.291681099
g6p,g6p,Gluconate,1.237439539,0.223785064
6pgc,6pgc,Gluconate,2.133933194,0.106787159
pep,pep,Gluconate,0.69468907,0.123693141
pyr,pyr,Gluconate,1.565005756,0.568527695
fdp,fdp,Gluconate,1.672205048,0.034655332
e4p,e4p,Gluconate,0.041719854,0.002709883
r5p,r5p,Gluconate,0.573735434,0.037494381
ru5p-D,ru5p__D,Gluconate,1.646204551,0.379134025
s7p,s7p,Gluconate,12.97102457,2.157910611
xu5p-D,xu5p__D,Gluconate,1.356211476,0.110096867
cit,cit,Gluconate,1.105023173,0.096911572
akg,akg,Gluconate,1.013272949,0.397280489
fum,fum,Gluconate,1.139029806,0.185473708
icit,icit,Gluconate,0.017391849,0.001855829
mal-L,mal__L,Gluconate,2.819271111,0.096274706
succ,succ,Gluconate,1.79147545,0.19173647
cAMP,camp,Gluconate,0.003602456,0.00090783
f1p,f1p,Gluconate,0.164951411,0.009235564
gal1p,gal1p,Gluconate,0.045111424,0.004498152
glyc3p,glyc3p,Gluconate,0.222291205,0.023606295
adp,adp,Pyruvate,0.987584375,0.04292495
amp,amp,Pyruvate,0.771927753,0.014143278
atp,atp,Pyruvate,5.77604023,0.174116055
glu,glu__L,Pyruvate,68.35760143,1.19100792
gln,gln__L,Pyruvate,7.015359674,0.426017737
asn,asn__L,Pyruvate,1.031203144,0.162863182
asp,asp__L,Pyruvate,2.691879225,0.262986774
