glucose_g_gDW,acetate_g_gDW,fumarate_g_gDW,glycerol_g_gDW,pyruvate_g_gDW,fructose_g_gDW,succinate_g_gDW,xylose_g_gDW,glucose_chemostat_mu_0_5_g_gDW,glucose_chemostat_mu_0_12_g_gDW,glucose_chemostat_mu_0_20_g_gDW,glucose_chemostat_mu_0_35_g_gDW,glucose_MG1655_g_gDW,paxDB_g_gDW,enzyme
0.0036958954212257503,0.002812365743443333,0.0037113364397951373,0.003232752089444013,0.005658854773357437,0.0037022559114948794,0.004528911483036041,0.0036441424568215757,0.004176749234746266,0.0018868566158348494,0.0025622512095934595,0.0031292900408478527,0.003612076724202802,0.0007314815318031754,GCVMULTI-CPLX
0.0019270338224130568,0.0016807845637424677,0.0014985544966076767,0.001811911592019737,0.00172402559662191,0.0018891277221615979,0.0015788592719552116,0.002222982190302225,0.0023586017934241117,0.0012817877603548892,0.0013463685237462635,0.0018795810006167857,0.0019225412475684393,0.0006657434347867343,ADENYLOSUCCINATE-SYN-DIMER
1.500932950016599e-06,1.500932950016599e-06,1.5009329500166056e-06,1.500932950016599e-06,1.5009329500166073e-06,1.500932950016599e-06,1.5009329500166056e-06,1.5009329500166056e-06,1.5009329500166321e-06,1.500932950016599e-06,1.5009329500166056e-06,1.5009329500166321e-06,1.5009329500170298e-06,1.5009329500166052e-06,B2789-MONOMER
0.002974392477932106,0.0012214055960644303,0.001276161874395075,0.0015889800386380889,0.0015978877585579067,0.00201262071835413,0.001133114372153295,0.0031192739225103195,0.0025384381853857285,0.0008774104121020543,0.0010833359373072543,0.0015963158079838214,0.003173506217316269,0.0004928065049758031,PGLYCDEHYDROG-CPLX
0.0006148384758801073,0.0006897308092084972,0.0006426313814495657,0.0008995566382786921,0.00029617477996156936,0.0006899429687929968,0.0007398004711504244,0.0007890214947543525,0.0009789043228815768,0.0007455287799319161,0.0006818809045820085,0.0007790499942828673,0.00033351486683351483,0.00010883786684834174,ACETOLACTSYNI-CPLX
6.485540354414764e-05,3.869825183849693e-05,4.604375334487835e-05,4.2102264731698054e-05,3.278601891872657e-05,1.1573643836883849e-05,4.1206471865066184e-05,1.1573643836883708e-05,4.496880190492005e-05,2.2753138812449586e-05,2.7411261718935328e-05,1.8274174479290172e-05,5.5539157731176154e-06,1.1573643836883746e-05,CPLX0-7997
0.0003663088980523793,0.0001776107753653271,0.00019871937892014985,0.000265030244632775,0.00022920958405489385,0.0003347526018290078,0.00022323947395858039,0.0003353922564821843,0.00024370842286022668,0.0001257987484580348,0.00013219529498979926,0.00013518035003795602,0.0002882710303648526,1.1215278252360394e-05,N-ACETYLGLUTPREDUCT-MONOMER
1.8583823599187596e-06,1.8583823599187596e-06,1.8583823599184172e-06,1.858382359918303e-06,1.8583823599184172e-06,1.8583823599184172e-06,1.858382359918303e-06,1.8583823599183886e-06,1.858382359918303e-06,1.8583823599184172e-06,1.858382359918303e-06,1.8583823599183958e-06,1.8583823599183958e-06,1.858382359918303e-06,CPLX0-8581
3.2094274849362093e-06,3.20942748493618e-06,3.2094274849362093e-06,3.209427484936092e-06,3.2094274849362093e-06,3.20942748493618e-06,3.2094274849365625e-06,3.2094274849362093e-06,3.2094274849362093e-06,3.209427484936186e-06,3.2094274849362093e-06,3.2094274849362093e-06,3.20942748493618e-06,3.20942748493618e-06,CPLX0-8092
0.003267826552640319,0.0019753155928263037,0.0013969371115433885,0.0021217495374104473,0.001957041016273663,0.0025612887033259002,0.001468611424775822,0.0024554385586183993,0.0018908253427907197,0.0006113676519428761,0.0008491744792902215,0.0011705222280210656,0.0035386225506476255,0.00040749932390757694,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX
2.5490394025478e-05,2.6038574542154948e-05,2.0556769375385485e-05,2.1104949892062434e-05,1.8638137567016176e-05,1.9460408342031592e-05,2.1653130408739377e-05,2.8505386867201207e-05,2.7409025833847317e-05,2.192722066707785e-05,2.3023581700431743e-05,2.932765764221663e-05,2.192722066707785e-05,1.4006012201095978e-05,CPLX0-7887
1.0013724094985054e-05,1.0308245391896378e-05,1.3547979657920955e-05,1.6493192627034206e-05,6.7739898289604776e-06,1.0013724094985054e-05,8.246596313517103e-06,1.266441576718698e-05,1.1191809282630354e-05,4.712340750581202e-06,6.7739898289604776e-06,9.130160204251079e-06,2.6948698667386517e-06,2.6948698667386246e-06,CPLX0-8159
3.179294966076766e-07,3.179294966076766e-07,3.179294966076766e-07,0.0,3.1792949660782117e-07,0.0,0.0,1.112753238126868e-05,0.0,0.0,0.0,0.0,1.36391754044721e-07,1.3639175404468488e-07,XYLE-MONOMER
0.009921675024908667,0.004267649950182663,0.004761805546330123,0.006862335602789769,0.00444044636333444,0.013225668880770505,0.005148490202590501,0.0083757793091996,0.007163043507140484,0.0027761218864164727,0.0032361396545998,0.004519258385918299,0.009062328960478245,0.0018280596147459312,GAPDH-A-CPLX
1.9577798073729654e-06,2.7968282962455045e-07,0.0,2.7968282962470937e-07,2.7968282962470937e-07,2.7968282962470937e-07,0.0,2.7968282962470937e-07,8.390484888741282e-07,2.7968282962470937e-07,2.7968282962470937e-07,2.7968282962470937e-07,1.3984141481235468e-06,1.4151951179010141e-06,GLTP-MONOMER
0.0001226384803340134,7.90866525122171e-05,8.255346467713621e-05,0.0001124547195995635,0.00011830496512786452,3.9868339896569723e-05,4.983542487071215e-05,7.540316458699056e-05,0.0001388891623570717,0.00012827205010200693,0.00012133842577216871,0.00012307183185462827,9.143717084974143e-05,6.955291905868956e-05,CPLX0-8158
