gene,carbon_source,fitness,overall_disruption
b2987,glc__D,-0.04425,primary_partial
b2987,glyc,-0.1585,primary_partial
b2987,lac__D,-0.009000000000000001,primary_partial
b2987,pyr,-0.049,primary_partial
b2987,rib__D,-0.0495,primary_partial
b2987,succ,-0.093,primary_partial
b2987,xyl__D,0.017,primary_partial
b3008,ac,-5.047499999999999,primary_full
b3008,fru,-3.553,primary_full
b3008,glc__D,-3.6065000000000005,primary_full
b3008,glyc,-3.726,primary_full
b3008,lac__D,-3.239,primary_full
b3008,pyr,-2.7645,primary_full
b3008,rib__D,-3.5330000000000004,primary_full
b3008,succ,-4.5105,primary_full
b3008,xyl__D,-3.4985,primary_full
b3073,ac,-0.515,secondary
b3073,fru,-0.266,secondary
b3073,glc__D,-0.13725,secondary
b3073,glyc,-0.036500000000000005,secondary
b3073,lac__D,-0.2465,secondary
b3073,pyr,-0.163,secondary
b3073,rib__D,-0.24100000000000002,secondary
b3073,succ,-0.254,secondary
b3073,xyl__D,-0.16899999999999998,secondary
b3117,ac,-0.017,secondary
b3117,fru,-0.0215,secondary
b3117,glc__D,-0.0014999999999999979,secondary
b3117,glyc,-0.08,secondary
b3117,lac__D,-0.0915,secondary
b3117,pyr,-0.08399999999999999,secondary
b3117,rib__D,-0.17099999999999999,secondary
b3117,succ,-0.0685,secondary
b3117,xyl__D,-0.0245,secondary
b3172,ac,-5.215,complete
b3172,fru,-3.931,complete
b3172,glc__D,-3.80925,complete
b3172,glyc,-4.1185,complete
b3172,lac__D,-5.196,complete
b3172,pyr,-3.7435,complete
b3172,rib__D,-3.867,complete
b3172,succ,-4.5495,complete
b3172,xyl__D,-4.898,complete
b3281,ac,-4.82,primary_full
b3281,fru,-5.701,primary_full
b3281,glc__D,-4.95,primary_full
b3281,glyc,-4.247,primary_full
b3281,lac__D,-5.3955,primary_full
b3281,pyr,-3.8360000000000003,primary_full
b3281,rib__D,-4.879,primary_full
b3281,succ,-4.7635,primary_full
b3281,xyl__D,-4.8425,primary_full
b3359,ac,0.07450000000000001,primary_partial
b3359,fru,-0.14,primary_partial
b3359,glc__D,-0.48550000000000004,primary_partial
b3359,glyc,-0.0605,primary_partial
b3359,lac__D,0.055,primary_partial
b3359,pyr,-0.1995,primary_partial
b3359,rib__D,0.1255,primary_partial
b3359,succ,-0.3895,primary_partial
b3359,xyl__D,-0.0315,primary_partial
b3385,ac,-0.5255,secondary
b3385,fru,-0.024,secondary
b3385,glc__D,-0.113,secondary
b3385,glyc,-0.109,secondary
b3385,lac__D,-0.299,secondary
b3385,pyr,-0.39849999999999997,secondary
b3385,rib__D,-0.661,secondary
b3385,succ,-0.721,secondary
b3385,xyl__D,-0.0405,secondary
b3389,ac,-5.0925,complete
b3389,fru,-5.641,complete
b3389,glc__D,-4.8835,complete
b3389,glyc,-2.7504999999999997,complete
b3389,lac__D,-5.637499999999999,complete
b3389,pyr,-3.9015000000000004,complete
b3389,rib__D,-4.6965,complete
b3389,succ,-4.657,complete
b3389,xyl__D,-5.3870000000000005,complete
b3390,ac,-4.1625,primary_partial
b3390,fru,-3.674,primary_partial
b3390,glc__D,-3.053,primary_partial
b3390,glyc,-4.1405,primary_partial
b3390,lac__D,-4.7065,primary_partial
b3390,pyr,-2.841,primary_partial
b3390,rib__D,-3.7325,primary_partial
b3390,succ,-3.54,primary_partial
b3390,xyl__D,-4.1055,primary_partial
b3493,ac,-0.721,primary_partial
b3493,fru,-0.27749999999999997,primary_partial
b3493,glc__D,-0.12975,primary_partial
b3493,glyc,-0.1635,primary_partial
b3493,lac__D,-0.7849999999999999,primary_partial
b3493,pyr,0.7384999999999999,primary_partial
b3493,rib__D,-1.4104999999999999,primary_partial
b3493,succ,-2.2495,primary_partial
b3493,xyl__D,-0.9259999999999999,primary_partial
b3612,fru,-0.039,secondary
b3612,glc__D,-0.07775,secondary
b3612,glyc,0.016,secondary
b3612,rib__D,-0.08399999999999999,secondary
b3612,xyl__D,-0.0925,secondary
b3642,ac,-3.5815,complete
b3642,fru,-4.282,complete
b3642,glc__D,-3.7335000000000003,complete
b3642,glyc,-4.716,complete
b3642,lac__D,-4.5415,complete
b3642,pyr,-3.706,complete
b3642,rib__D,-2.9305,complete
b3642,succ,-3.7335,complete
b3642,xyl__D,-3.7145,complete
b3670,ac,-0.154,primary_partial
b3670,fru,-0.802,primary_partial
b3670,glc__D,-1.099,primary_partial
b3670,glyc,-0.7475,primary_partial
b3670,lac__D,-0.052,primary_partial
b3670,pyr,0.11499999999999999,primary_partial
b3670,rib__D,-1.4,primary_partial
b3670,succ,0.5105,primary_partial
b3670,xyl__D,-2.504,primary_partial
b3671,ac,-3.2165,primary_partial
b3671,fru,-2.6784999999999997,primary_partial
b3671,glc__D,-2.45525,primary_partial
b3671,glyc,-3.093,primary_partial
b3671,lac__D,-1.4529999999999998,primary_partial
b3671,pyr,0.585,primary_partial
b3671,rib__D,-3.66,primary_partial
b3671,succ,-1.3780000000000001,primary_partial
b3671,xyl__D,-3.9805,primary_partial
b3722,glc__D,0.05425,secondary
b3770,ac,-5.3835,complete
b3770,fru,-4.9975000000000005,complete
b3770,glc__D,-3.99275,complete
b3770,glyc,-3.6784999999999997,complete
b3770,lac__D,-5.4375,complete
b3770,pyr,-3.8689999999999998,complete
b3770,rib__D,-4.3135,complete
b3770,succ,-4.6555,complete
b3770,xyl__D,-5.0695,complete
b3771,ac,-5.335000000000001,complete
b3771,fru,-5.064,complete
b3771,glc__D,-4.443,complete
b3771,glyc,-4.1735,complete
b3771,lac__D,-5.561,complete
b3771,pyr,-3.683,complete
b3771,rib__D,-4.83,complete
b3771,succ,-4.6045,complete
b3771,xyl__D,-4.957,complete
b3772,ac,-4.276,primary_full
b3772,fru,-4.471500000000001,primary_full
b3772,glc__D,-3.5202500000000003,primary_full
b3772,glyc,-4.092499999999999,primary_full
b3772,lac__D,-4.974,primary_full
b3772,pyr,-2.7995,primary_full
b3772,rib__D,-4.034,primary_full
b3772,succ,-3.9165,primary_full
b3772,xyl__D,-4.3665,primary_full
b3774,ac,-5.5155,complete
b3774,fru,-4.9335,complete
b3774,glc__D,-4.6945,complete
b3774,glyc,-4.18,complete
b3774,lac__D,-5.487,complete
b3774,pyr,-3.8575,complete
b3774,rib__D,-4.839,complete
b3774,succ,-4.8785,complete
b3774,xyl__D,-4.843,complete
b3829,ac,-4.343,primary_partial
b3829,fru,-4.1080000000000005,primary_partial
b3829,glc__D,-3.9987500000000002,primary_partial
b3829,glyc,-4.2865,primary_partial
b3829,lac__D,-4.6205,primary_partial
b3829,pyr,-3.6485,primary_partial
b3829,rib__D,-5.1315,primary_partial
b3829,succ,-4.155,primary_partial
b3829,xyl__D,-4.53,primary_partial
b3870,ac,-2.6535,complete
b3870,fru,-2.865,complete
b3870,glc__D,-2.1390000000000002,complete
b3870,glyc,-2.729,complete
b3870,lac__D,-2.781,complete
b3870,pyr,-2.6100000000000003,complete
b3870,rib__D,-2.654,complete
b3870,succ,-2.6559999999999997,complete
b3870,xyl__D,-2.873,complete
b3939,ac,-2.026,complete
b3939,fru,-2.807,complete
b3939,glc__D,-3.49,complete
b3939,glyc,-3.1864999999999997,complete
b3939,lac__D,-2.3985,complete
b3939,pyr,-2.3815,complete
b3939,rib__D,-3.5564999999999998,complete
b3939,succ,-4.955500000000001,complete
b3939,xyl__D,-3.4485,complete
b3940,ac,0.534,primary_partial
b3940,fru,-0.352,primary_partial
b3940,glc__D,-0.366,primary_partial
b3940,glyc,-0.16649999999999998,primary_partial
b3940,lac__D,0.17149999999999999,primary_partial
b3940,pyr,-0.055499999999999994,primary_partial
b3940,rib__D,0.0505,primary_partial
b3940,succ,-0.157,primary_partial
b3940,xyl__D,-0.32599999999999996,primary_partial
b3941,ac,-5.2925,complete
b3941,fru,-4.4445,complete
b3941,glc__D,-5.04875,complete
b3941,glyc,-5.6335,complete
b3941,lac__D,-5.631,complete
b3941,pyr,-3.886,complete
b3941,rib__D,-5.276,complete
b3941,succ,-4.651999999999999,complete
b3941,xyl__D,-4.7485,complete
b3957,ac,-3.4275,complete
b3957,fru,-3.2915,complete
b3957,glc__D,-3.42875,complete
b3957,glyc,-3.3385,complete
b3957,lac__D,-4.1415,complete
b3957,pyr,-2.8955,complete
b3957,rib__D,-4.09,complete
b3957,succ,-3.7604999999999995,complete
b3957,xyl__D,-3.6470000000000002,complete
b3958,ac,-3.5525,complete
b3958,fru,-3.1639999999999997,complete
b3958,glc__D,-3.74375,complete
b3958,glyc,-3.2640000000000002,complete
b3958,lac__D,-3.461,complete
b3958,pyr,-2.4210000000000003,complete
b3958,rib__D,-3.4000000000000004,complete
b3958,succ,-4.1114999999999995,complete
b3958,xyl__D,-3.207,complete
b3959,ac,-3.189,complete
b3959,fru,-3.223,complete
b3959,glc__D,-3.37475,complete
b3959,glyc,-3.22,complete
b3959,lac__D,-3.5155000000000003,complete
b3959,pyr,-2.7775,complete
b3959,rib__D,-3.0655,complete
b3959,succ,-3.5934999999999997,complete
b3959,xyl__D,-2.9130000000000003,complete
b3960,ac,-5.1795,complete
b3960,fru,-4.351,complete
b3960,glc__D,-3.5940000000000003,complete
b3960,glyc,-4.508,complete
b3960,lac__D,-5.417,complete
b3960,pyr,-3.823,complete
b3960,rib__D,-4.11,complete
b3960,succ,-4.129,complete
b3960,xyl__D,-4.6035,complete
b4005,ac,-4.731,complete
b4005,fru,-4.3395,complete
b4005,glc__D,-4.3485,complete
b4005,glyc,-0.3685,complete
b4005,lac__D,-5.369,complete
b4005,pyr,-3.762,complete
b4005,rib__D,-4.2095,complete
b4005,succ,-4.4505,complete
b4005,xyl__D,-4.0855,complete
b4006,ac,-4.9815000000000005,complete
b4006,fru,-4.583,complete
b4006,glc__D,-4.38725,complete
b4006,glyc,-2.1109999999999998,complete
b4006,lac__D,-5.32,complete
b4006,pyr,-4.1735,complete
b4006,rib__D,-4.8535,complete
b4006,succ,-4.6370000000000005,complete
b4006,xyl__D,-4.8495,complete
b4013,ac,-1.3115,complete
b4013,fru,-2.559,complete
b4013,glc__D,-2.9627499999999998,complete
b4013,glyc,-2.2485,complete
b4013,lac__D,-2.2235,complete
b4013,pyr,-1.5790000000000002,complete
b4013,rib__D,-3.436,complete
b4013,succ,-4.119,complete
b4013,xyl__D,-2.4059999999999997,complete
b4019,ac,-0.0975,primary_partial
b4019,fru,-0.059,primary_partial
b4019,glc__D,-0.05725,primary_partial
b4019,glyc,-0.034999999999999996,primary_partial
b4019,lac__D,-0.0805,primary_partial
b4019,pyr,-0.0010000000000000009,primary_partial
b4019,rib__D,-0.07150000000000001,primary_partial
b4019,succ,-0.1015,primary_partial
b4019,xyl__D,-0.095,primary_partial
b4024,ac,-0.16199999999999998,primary_partial
b4024,fru,-0.2875,primary_partial
b4024,glc__D,-0.46275,primary_partial
b4024,glyc,-0.44099999999999995,primary_partial
b4024,lac__D,0.0915,primary_partial
b4024,pyr,-0.16699999999999998,primary_partial
b4024,rib__D,-1.021,primary_partial
b4024,succ,0.2725,primary_partial
b4024,xyl__D,-0.278,primary_partial
b4036,glc__D,0.013749999999999998,primary_partial
b4054,ac,-0.0665,primary_full
b4054,fru,-0.20550000000000002,primary_full
b4054,glc__D,-0.30274999999999996,primary_full
b4054,glyc,-0.1185,primary_full
b4054,lac__D,-0.2355,primary_full
b4054,pyr,0.0685,primary_full
b4054,rib__D,-0.2735,primary_full
b4054,succ,-1.1195,primary_full
b4054,xyl__D,-0.187,primary_full
b4055,ac,0.14750000000000002,secondary
b4055,fru,-0.064,secondary
b4055,glc__D,0.0595,secondary
b4055,glyc,-0.0335,secondary
b4055,lac__D,0.0305,secondary
b4055,pyr,-0.026999999999999996,secondary
b4055,rib__D,-0.084,secondary
b4055,succ,-0.0009999999999999974,secondary
b4055,xyl__D,-0.008,secondary
b4090,ac,0.272,secondary
b4090,fru,0.051500000000000004,secondary
b4090,glc__D,0.0034999999999999983,secondary
b4090,glyc,0.016,secondary
b4090,lac__D,0.1175,secondary
b4090,pyr,0.173,secondary
b4090,succ,0.4575,secondary
b4090,xyl__D,0.2185,secondary
b4177,ac,-2.2584999999999997,complete
b4177,fru,-2.761,complete
b4177,glc__D,-2.2395,complete
b4177,glyc,-1.6425,complete
b4177,lac__D,-2.56,complete
b4177,pyr,-2.5805,complete
b4177,rib__D,-2.472,complete
b4177,succ,-2.3265000000000002,complete
b4177,xyl__D,-2.5915,complete
b4214,ac,-4.2395,complete
b4214,fru,-3.93,complete
b4214,glc__D,-3.747,complete
b4214,glyc,-4.55,complete
b4214,lac__D,-4.772,complete
b4214,pyr,-3.7359999999999998,complete
b4214,rib__D,-4.844,complete
b4214,succ,-4.763,complete
b4214,xyl__D,-4.420999999999999,complete
b4245,ac,-1.6764999999999999,complete
b4245,fru,-3.607,complete
b4245,glc__D,-4.04075,complete
b4245,glyc,-3.8015,complete
b4245,lac__D,-2.1305,complete
b4245,pyr,-3.641,complete
b4245,rib__D,-1.6605,complete
b4245,succ,-4.686999999999999,complete
b4245,xyl__D,-2.849,complete
b4254,ac,-0.598,primary_partial
b4254,fru,-0.188,primary_partial
b4254,glc__D,-0.22924999999999998,primary_partial
b4254,glyc,-0.2935,primary_partial
b4254,lac__D,-0.22899999999999998,primary_partial
b4254,pyr,-0.169,primary_partial
b4254,rib__D,-0.1825,primary_partial
b4254,succ,-0.0745,primary_partial
b4254,xyl__D,-0.318,primary_partial
b4388,ac,-4.7475000000000005,primary_full
b4388,fru,-5.1905,primary_full
b4388,glc__D,-4.59375,primary_full
b4388,glyc,-3.1145,primary_full
b4388,lac__D,-5.179500000000001,primary_full
b4388,pyr,-4.124,primary_full
b4388,rib__D,-4.6265,primary_full
b4388,succ,-4.8255,primary_full
b4388,xyl__D,-4.91,primary_full
b4395,ac,-0.767,secondary
b4395,fru,-0.032999999999999995,secondary
b4395,glc__D,-0.3085,secondary
b4395,glyc,-0.1055,secondary
b4395,lac__D,-0.7435,secondary
b4395,pyr,-0.41100000000000003,secondary
b4395,rib__D,-0.942,secondary
b4395,succ,-0.532,secondary
b4395,xyl__D,-0.2755,secondary
