gene_name,bnum,uniprot_id,A1-1,A1-2,A1-3,C1,F1-1,F1-2,F1-3
azoR,b1412,P41407,0.000168656,0.000173713,0.000183849,0.000167229,0.000180392,0.000174695,0.000166686
azuC,b4663,C1P605,0,0,0,0,0,0,0
bacA,b3057,P60932,4.38043E-05,0,0,5.22297E-05,0,0,0
baeR,b2079,P69228,4.18479E-05,4.19274E-05,4.00842E-05,4.85344E-05,4.90727E-05,4.70855E-05,4.44325E-05
baeS,b2078,P30847,1.13231E-05,6.84988E-06,8.38957E-06,0,0,9.81735E-06,6.38908E-06
bamA,b0177,P0A940,0.001013147,0.001006949,0.001014845,0.00096224,0.000976369,0.000971823,0.00093629
bamB,b2512,P77774,0.000320615,0.000323551,0.000336289,0.00031707,0.000331049,0.000317939,0.000307771
bamC,b2477,P0A903,0.000302619,0.000304631,0.000293482,0.000292538,0.000290851,0.000287675,0.000282675
bamD,b2595,P0AC02,0.000466795,0.000477817,0.000474771,0.000416854,0.000436353,0.00041977,0.000422081
bamE,b2617,P0A937,0.000179951,0.000180016,0.000176343,0.000153612,0.000170998,0.000162311,0.000164915
barA,b2786,P0AEC5,3.60749E-05,3.25715E-05,0.000039748,4.5018E-05,5.37369E-05,4.51414E-05,3.65711E-05
basR,b4113,P30843,0.000124483,0.00012351,0.000126302,8.3351E-05,6.44705E-05,0,5.92391E-05
basS,b4112,P30844,0.000034859,0,0,0,0,0,0
bax,b3570,P27297,0,0,0,0,0,0,0
bcp,b2480,P0AE52,0.000597943,0.000594627,0.000595004,0.00072147,0.000683793,0.000664071,0.000670138
bcr,b2182,P28246,0,0,2.73519E-05,2.1299E-05,0,0,0
bcsA,b3533,P37653,0,0,0,0,0,0,0
bcsB,b3532,P37652,2.30537E-05,2.56218E-05,0,2.60927E-05,9.47704E-06,2.12438E-05,1.70792E-05
bcsC,b3530,P37650,0,1.56059E-05,1.52472E-05,1.58951E-05,0,0,0
bcsE,b3536,P37657,9.89595E-05,6.82292E-05,0,0.000105069,7.442E-05,0.000146669,9.56236E-05
bcsF,b3537,P0ADJ5,0,0,0,0,0,0,0
bcsG,b3538,P37659,4.98233E-05,4.99983E-05,6.37945E-05,5.84173E-05,5.90021E-05,6.16115E-05,6.01806E-05
bcsQ,b3534,P37655,0,0,0,0,0,0,0
bcsZ,b3531,P37651,0,0,0,0,0,0,0
bdcA,b4249,P39333,0,0,0,0,0,0,0
bdcR,b4251,P39334,1.82664E-05,0,0,3.48556E-05,4.05024E-05,3.19187E-05,3.17312E-05
bdm,b1481,P76127,0,0,0,0,0,0,0
bepA,b2494,P66948,8.94645E-05,8.72585E-05,8.48242E-05,9.0049E-05,9.05777E-05,8.60227E-05,9.05081E-05
betA,b0311,P17444,0,0,0,0,0,0,0
betB,b0312,P17445,7.96377E-05,7.36222E-05,8.21101E-05,9.07087E-05,8.87745E-05,9.12149E-05,7.95837E-05
betI,b0313,P17446,0,0,0,0,0,0,0
betT,b0314,P0ABC9,0,0,0,0,0,0,0
bfd,b3337,P0AE56,0,0,0,0,0,0,0
bfr,b3336,P0ABD3,0.00053902,0.0005409,0.000534714,0.000544872,0.000533163,0.000519029,0.000538681
bglA,b2901,Q46829,0.000381104,0.00037164,0.000369307,0.000359562,0.000345519,0.000368767,0.000340938
bglB,b3721,P11988,0,0,0,0,0,0,0
bglF,b3722,P08722,0,0,0,0,0,0,0
bglG,b3723,P11989,0,0,0,0,0,0,0
bglH,b3720,P26218,0,0,0,0,0,0,0
bglJ,b4366,P39404,0,0,0,0,0,0,0
bglX,b2132,P33363,0.000133012,0.000135331,0.000125343,0.000138565,0.000146759,0.000143697,0.000133291
bhsA,b1112,P0AB40,0,0,0,0,0,0,0
bioA,b0774,P12995,8.89252E-05,8.45205E-05,8.3678E-05,9.33403E-05,9.00846E-05,8.99151E-05,8.7024E-05
bioB,b0775,P12996,0.000247771,0.000244248,0.000237968,0.000274392,0.000230732,0.000255518,0.000254129
bioC,b0777,P12999,0,0,0,0,0,0,0
bioD,b0778,P13000,0.000127178,0.00013132,0.000132551,0.000114147,0.000104543,0.000109239,0.000102948
bioF,b0776,P12998,3.56235E-05,3.54312E-05,3.57737E-05,3.66032E-05,3.63266E-05,3.50717E-05,4.13661E-05
bioH,b3412,P13001,3.2898E-05,2.90687E-05,2.69987E-05,3.56661E-05,3.52048E-05,3.53008E-05,3.14714E-05
bipA,b3871,P32132,0.001549016,0.001573174,0.00157681,0.001648939,0.001546387,0.001519213,0.00147884
birA,b3973,P06709,3.39442E-05,3.39005E-05,3.44168E-05,3.17083E-05,3.39839E-05,3.58591E-05,2.91794E-05
bisC,b3551,P20099,0.00010801,0.000114069,9.44632E-05,0.000113716,0.000102018,0.000111956,9.92456E-05
blc,b4149,P0A901,5.07372E-05,5.98725E-05,5.0229E-05,6.82352E-05,2.88447E-05,5.54257E-05,6.33824E-05
blr,b4409,P56976,0,0,0,0,0,0,0
bluF,b1163,P75990,0,0,0,0,0,0,0
bluR,b1162,P75989,0,0,0,0,0,0,0
bolA,b0435,P0ABE2,0.000173031,0.000184578,0.000186601,0.000171092,0.00016854,0.000171213,0.000169581
borD,b0557,P77330,0.000223674,0.000241608,0.000209898,0.000226351,0.000258177,0.00025827,0.000238266
brnQ,b0401,P0AD99,0,0,0,0,0,0,0
bsmA,b4189,P39297,1.1907E-05,1.29824E-05,1.16352E-05,1.30786E-05,1.35388E-05,1.32621E-05,1.08217E-05
bssR,b0836,P0AAY1,0,0,0,0,0,0,0
bssS,b1060,P0AB33,0,0,0,0,0,0,0
btuB,b3966,P06129,0.000279071,0.000277757,0.000273096,0.000270208,0.000288194,0.00027805,0.000274076
btuC,b1711,P06609,0,0,0,0,0,0,0
btuD,b1709,P06611,0,0,0,0,0,2.40047E-05,1.21289E-05
btuE,b1710,P06610,0.000144701,0.000142818,0.000151566,0.000156725,0.000148837,0.000144319,0.000137417
btuF,b0158,P37028,0,0,0,0,0,0,0
btuR,b1270,P0A9H5,3.4147E-05,1.36765E-05,1.17623E-05,1.39045E-05,2.72176E-05,2.66008E-05,1.63334E-05
cadA,b4131,P0A9H3,0,0,0,0,0,0,0
cadB,b4132,P0AAE8,0,0,0,0,0,0,0
cadC,b4133,P23890,0,0,0,0,0,0,0
caiA,b0039,P60584,0,0,0,0,0,0,0
caiB,b0038,P31572,0,0,0,0,0,0,0
caiC,b0037,P31552,0,0,0,0,0,0,0
caiD,b0036,P31551,0,0,0,0,0,0,0
caiE,b0035,P39206,0,0,0,0,0,0,0
caiF,b0034,P0AE58,0,0,0,0,0,0,0
caiT,b0040,P31553,0,0,0,0,0,0,0
can,b0126,P61517,0.000982466,0.000954628,0.000938307,0.000937449,0.00084207,0.000851242,0.000851893
carA,b0032,P0A6F1,0.001608501,0.001616038,0.001673878,0.001697571,0.00167174,0.001633275,0.001631095
carB,b0033,P00968,0.004902804,0.004912287,0.00490675,0.005138051,0.005000425,0.0050302,0.00495753
cas1,b2755,Q46896,0,0,0,0,0,0,0
cas2,b2754,P45956,0,0,0,0,0,0,0
cas3,b2761,P38036,0,0,0,0,0,0,0
casA,b2760,Q46901,0,0,0,0,0,0,0
casB,b2759,P76632,0,0,0,0,0,0,0
casC,b2758,Q46899,0,0,0,0,0,0,0
casD,b2757,Q46898,0,0,0,0,0,0,0
casE,b2756,Q46897,0,0,0,0,0,0,0
cbeA,b2004,P76364,0,0,0,0,0,0,0
cbl,b1987,Q47083,0.000107728,0,0,9.46307E-05,8.93964E-05,9.48335E-05,9.23868E-05
cbpA,b1000,P36659,0.000134065,0.000155141,0.000150186,0.000148083,0.000144291,0.000135495,0.000141183
cbpM,b0999,P63264,0,0,0,0,0,0,0
cbrA,b3690,P31456,0,0,0,0,0,0,0
cbrB,b3716,P31468,0,0,0,0,0,0,0
cbrC,b3717,P31469,0,0,0,0,0,0,0
cbtA,b2005,P64524,0,0,0,0,0,0,0
cca,b3056,P06961,4.41091E-05,3.95485E-05,3.8823E-05,3.74149E-05,4.63729E-05,3.98531E-05,3.83005E-05
ccmA,b2201,P33931,0,0,0,0,0,0,0
ccmB,b2200,P0ABL8,0,0,0,0,0,0,0
ccmC,b2199,P0ABM1,0,0,0,0,0,0,0
ccmD,b2198,P0ABM5,0,0,0,0,0,0,0
ccmE,b2197,P69490,0,0,0,0,0,0,0
ccmF,b2196,P33927,0,0,0,0,0,0,0
ccmG,b2195,P0AA86,0,0,0,0,0,0,0
ccmH,b2194,P0ABM9,0,0,0,0,0,0,0
cdaR,b0162,P37047,0,0,0,0,0,0,0
cdd,b2143,P0ABF6,6.48271E-05,6.22539E-05,5.91932E-05,6.87496E-05,6.45859E-05,6.94443E-05,6.8658E-05
cdgI,b1785,P76236,0,0,0,0,0,0,0
cdh,b3918,P06282,1.12216E-05,1.12188E-05,1.02789E-05,1.1196E-05,1.28258E-05,1.50847E-05,1.09988E-05
cdsA,b0175,P0ABG1,2.72131E-05,0,0,4.76037E-05,5.17773E-05,4.13399E-05,3.89223E-05
cedA,b1731,P0AE60,8.88955E-06,8.81669E-06,8.76037E-06,1.01786E-05,9.91489E-06,9.34877E-06,9.12454E-06
cfa,b1661,P0A9H7,0.000530893,0.000538562,0.000544276,0.000547051,0.000542579,0.000528969,0.000538208
chaA,b1216,P31801,4.49217E-05,5.3734E-05,0,6.44965E-05,2.50516E-05,0,9.03875E-05
chaB,b1217,P0AE63,3.00613E-05,2.66072E-05,2.10053E-05,2.87858E-05,2.35976E-05,3.06588E-05,2.03268E-05
chaC,b1218,P39163,0,0,0,0,0,0,0
chbA,b1736,P69791,0,0,0,0,0,0,0
chbB,b1738,P69795,1.313E-05,1.37623E-05,1.04606E-06,1.46725E-05,1.58449E-05,1.54462E-05,1.73787E-05
chbC,b1737,P17334,0,0,0,0,0,0,0
chbF,b1734,P17411,0,0,0,0,0,0,0
chbG,b1733,P37794,0,0,0,0,0,0,0
chbR,b1735,P17410,0,0,0,0,0,0,0
cheA,b1888,P07363,0,0,0,0,0,0,0
cheB,b1883,P07330,0,0,0,0,0,0,0
cheR,b1884,P07364,0,0,0,0,0,0,0
cheW,b1887,P0A964,0,0,6.06672E-06,6.46197E-06,0,0,0
cheY,b1882,P0AE67,0,0,0,0,0,0,0
cheZ,b1881,P0A9H9,0,0,0,0,0,0,0
chiA,b3338,P13656,0,0,0,0,0,0,0
chiP,b0681,P75733,0,0,0,0,0,0,0
cho,b1741,P76213,0,0,0,0,0,0,0
chpB,b4225,P33647,0,0,0,0,0,0,0
chpS,b4224,P08365,0,0,0,0,0,0,0
cirA,b2155,P17315,3.14472E-05,2.9477E-05,2.76427E-05,6.17333E-05,4.63855E-05,5.08351E-05,4.67772E-05
citC,b0618,P77390,0,0,0,0,0,0,0
citD,b0617,P69330,0,0,0,0,0,0,0
citE,b0616,P0A9I1,0,0,0,0,0,0,0
citF,b0615,P75726,0,0,0,0,0,0,0
citG,b0613,P77231,0,0,0,0,0,0,0
citT,b0612,P0AE74,0,0,0,0,0,0,0
citX,b0614,P0A6G5,0,0,0,0,0,0,0
clcA,b0155,P37019,0,0,0,0,0,0,0
clcB,b1592,P76175,0,2.51906E-06,0,0,0,3.58171E-06,3.49659E-06
clpA,b0882,P0ABH9,0.001424019,0.001385044,0.001405457,0.001514176,0.001526543,0.001560379,0.001441215
clpB,b2592,P63284,0.000951956,0.000955363,0.000976356,0.000971216,0.001011305,0.000988174,0.000976854
clpP,b0437,P0A6G7,0.000537373,0.000552452,0.000518692,0.000529843,0.000564759,0.000539281,0.000550095
clpS,b0881,P0A8Q6,0,0,0,0,0,0,0
clpX,b0438,P0A6H1,0.000800437,0.000813081,0.000788674,0.000856801,0.000872618,0.000842905,0.000811878
clsA,b1249,P0A6H8,9.08699E-05,9.25148E-05,9.44272E-05,0,0,9.28328E-05,0.000122773
clsB,b0789,P0AA84,0,0,0,0,0,0,0
clsC,b1046,P75919,0,0,0,0,0,0,0
cmk,b0910,P0A6I0,8.99356E-05,9.64323E-05,9.26298E-05,9.91303E-05,9.97306E-05,0.000101822,8.9386E-05
cmoA,b1870,P76290,6.01829E-05,5.90426E-05,5.9254E-05,6.91924E-05,6.60101E-05,6.31554E-05,6.54729E-05
cmoB,b1871,P76291,5.13933E-05,5.03582E-05,4.63832E-05,5.57457E-05,6.24358E-05,6.24954E-05,5.89126E-05
cmoM,b0921,P36566,1.60985E-05,1.4815E-05,0,1.35038E-05,0,1.44111E-05,0
cmtA,b2933,P69826,0,0,0,0,0,0,0
cmtB,b2934,P69824,0,0,0,0,0,0,0
cnu,b1625,P64467,7.96414E-06,9.73121E-06,9.71112E-06,1.15552E-05,1.31568E-05,1.41331E-05,1.18121E-05
coaA,b3974,P0A6I3,8.95964E-05,9.05381E-05,8.56577E-05,8.17965E-05,8.59096E-05,8.3423E-05,7.81035E-05
coaD,b3634,P0A6I6,4.29697E-05,0.000043298,4.17856E-05,4.15465E-05,3.93263E-05,4.04703E-05,3.98055E-05
coaE,b0103,P0A6I9,2.03683E-05,1.81323E-05,2.11868E-05,2.20098E-05,2.30301E-05,2.32169E-05,2.36917E-05
cobB,b1120,P75960,0.000124461,0.000127785,0.000122242,0.000126711,0.000135125,0.000131461,0.000135757
