,bigg_id,group_descr,reaction
100,CD2tpp,Inorganic Ion Transport and Metabolism,cd2_p --> cd2_c
101,FE3abcpp,Inorganic Ion Transport and Metabolism,atp_c + fe3_p + h2o_c --> adp_c + fe3_c + h_c + pi_c
102,CLt3_2pp,Inorganic Ion Transport and Metabolism,2.0 cl_p + h_c --> 2.0 cl_c + h_p
107,SELabcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + sel_p --> adp_c + h_c + pi_c + sel_c
108,DHBSZ3FEabcpp,Inorganic Ion Transport and Metabolism,atp_c + fe3dhbzs3_p + h2o_c --> adp_c + fe3dhbzs3_c + h_c + pi_c
113,PIt2rpp,Inorganic Ion Transport and Metabolism,h_p + pi_p --> h_c + pi_c
114,CLtipp,Inorganic Ion Transport and Metabolism,cl_p --> cl_c
115,PItpp,Inorganic Ion Transport and Metabolism,pi_c --> pi_p
116,SLNTabcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + slnt_p --> adp_c + h_c + pi_c + slnt_c
119,NMNt7pp,"Transport, Inner Membrane",h2o_c + nmn_p --> h_c + ncam_c + r5p_c
122,SUCCt2_2pp,"Transport, Inner Membrane",2.0 h_p + succ_p --> 2.0 h_c + succ_c
124,SUCptspp,"Transport, Inner Membrane",pep_c + sucr_p --> pyr_c + suc6p_c
126,TAURabcpp,"Transport, Inner Membrane",atp_c + h2o_c + taur_p --> adp_c + h_c + pi_c + taur_c
127,THMDt2pp_copy1,"Transport, Inner Membrane",h_p + thymd_p --> h_c + thymd_c
129,XYLt2pp,"Transport, Inner Membrane",h_p + xyl__D_p --> h_c + xyl__D_c
130,THMabcpp,"Transport, Inner Membrane",atp_c + h2o_c + thm_p --> adp_c + h_c + pi_c + thm_c
132,THRabcpp,"Transport, Inner Membrane",atp_c + h2o_c + thr__L_p --> adp_c + h_c + pi_c + thr__L_c
133,TREptspp,"Transport, Inner Membrane",pep_c + tre_p --> pyr_c + tre6p_c
136,URIt2pp_copy1,"Transport, Inner Membrane",h_p + uri_p --> h_c + uri_c
138,VALabcpp,"Transport, Inner Membrane",atp_c + h2o_c + val__L_p --> adp_c + h_c + pi_c + val__L_c
140,XYLabcpp,"Transport, Inner Membrane",atp_c + h2o_c + xyl__D_p --> adp_c + h_c + pi_c + xyl__D_c
141,XYLUt2pp,"Transport, Inner Membrane",h_p + xylu__L_p --> h_c + xylu__L_c
142,THRt4pp,"Transport, Inner Membrane",na1_p + thr__L_p --> na1_c + thr__L_c
143,CBL1abcpp,"Transport, Inner Membrane",atp_c + cbl1_p + h2o_c --> adp_c + cbl1_c + h_c + pi_c
145,ACGAptspp,"Transport, Inner Membrane",acgam_p + pep_c --> acgam6p_c + pyr_c
146,ACMANAptspp,"Transport, Inner Membrane",acmana_p + pep_c --> acmanap_c + pyr_c
147,ACNAMt2pp,"Transport, Inner Membrane",acnam_p + h_p --> acnam_c + h_c
149,DAPabcpp,"Transport, Inner Membrane",26dap__M_p + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c
152,ARGabcpp,"Transport, Inner Membrane",arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c
154,ASCBptspp,"Transport, Inner Membrane",ascb__L_p + pep_c --> ascb6p_c + pyr_c
156,ASPabcpp,"Transport, Inner Membrane",asp__L_p + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c
157,ASPt2pp,"Transport, Inner Membrane",asp__L_p + h_p --> asp__L_c + h_c
158,ASPt2_2pp,"Transport, Inner Membrane",asp__L_p + 2.0 h_p --> asp__L_c + 2.0 h_c
159,ASPt2_3pp,"Transport, Inner Membrane",asp__L_p + 3.0 h_p --> asp__L_c + 3.0 h_c
