,bigg_id,group_descr,reaction
371,2AGPA180tipp,"Transport, Inner Membrane",2odecg3p_p --> 2odecg3p_c
372,2AGPA141tipp,"Transport, Inner Membrane",2tdec7eg3p_p --> 2tdec7eg3p_c
373,2AGPE140tipp,"Transport, Inner Membrane",2agpe140_p --> 2agpe140_c
374,2AGPE160tipp,"Transport, Inner Membrane",2agpe160_p --> 2agpe160_c
375,2AGPE180tipp,"Transport, Inner Membrane",2agpe180_p --> 2agpe180_c
376,2AGPE141tipp,"Transport, Inner Membrane",2agpe141_p --> 2agpe141_c
377,2AGPE161tipp,"Transport, Inner Membrane",2agpe161_p --> 2agpe161_c
378,2AGPA161tipp,"Transport, Inner Membrane",2hdec9eg3p_p --> 2hdec9eg3p_c
379,2AGPA181tipp,"Transport, Inner Membrane",2odec11eg3p_p --> 2odec11eg3p_c
380,2AGPG120tipp,"Transport, Inner Membrane",2agpg120_p --> 2agpg120_c
381,PA141abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pa141_c --> adp_c + h_c + pa141_p + pi_c
382,PA161abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pa161_c --> adp_c + h_c + pa161_p + pi_c
383,PA180abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pa180_c --> adp_c + h_c + pa180_p + pi_c
384,PE120abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pe120_c --> adp_c + h_c + pe120_p + pi_c
385,PE180abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pe180_c --> adp_c + h_c + pe180_p + pi_c
386,TDSR1,"Transport, Inner Membrane",dsbcox_p + dsbdrd_c --> dsbcrd_p + dsbdox_c
387,CGLYabcpp,"Transport, Inner Membrane",atp_c + cgly_p + h2o_c --> adp_c + cgly_c + h_c + pi_c
388,PE181abcpp,"Transport, Inner Membrane",atp_c + h2o_c + pe181_c --> adp_c + h_c + pe181_p + pi_c
389,12DGR161tipp,"Transport, Inner Membrane",12dgr161_p --> 12dgr161_c
390,12DGR181tipp,"Transport, Inner Membrane",12dgr181_p --> 12dgr181_c
391,TDSR2,"Transport, Inner Membrane",dsbdrd_c + dsbgox_p --> dsbdox_c + dsbgrd_p
392,GTHRDabc2pp,"Transport, Inner Membrane",atp_c + gthrd_c + h2o_c --> adp_c + gthrd_p + h_c + pi_c
393,GLYBt2pp,"Transport, Inner Membrane",glyb_p + h_p --> glyb_c + h_c
394,DSERt2pp,"Transport, Inner Membrane",h_p + ser__D_p --> h_c + ser__D_c
395,ALAt4pp,"Transport, Inner Membrane",ala__L_p + na1_p --> ala__L_c + na1_c
396,LYSt3pp,"Transport, Inner Membrane",h_p + lys__L_c --> h_c + lys__L_p
397,CHLt2pp,"Transport, Inner Membrane",chol_p + h_p --> chol_c + h_c
398,GLYt4pp,"Transport, Inner Membrane",gly_p + na1_p --> gly_c + na1_c
399,FRULYSt2pp,"Transport, Inner Membrane",frulys_p + h_p --> frulys_c + h_c
400,23DAPPAt2pp,"Transport, Inner Membrane",23dappa_p + h_p --> 23dappa_c + h_c
402,GALCTNt2pp,"Transport, Inner Membrane",galctn__D_p + h_p --> galctn__D_c + h_c
403,ARGt3pp,"Transport, Inner Membrane",arg__L_c + h_p --> arg__L_p + h_c
404,PPAt4pp,"Transport, Inner Membrane",na1_p + ppa_p --> na1_c + ppa_c
405,OROTt2_2pp,"Transport, Inner Membrane",2.0 h_p + orot_p --> 2.0 h_c + orot_c
406,MALDt2_2pp,"Transport, Inner Membrane",2.0 h_p + mal__D_p --> 2.0 h_c + mal__D_c
407,PSCLYSt2pp,"Transport, Inner Membrane",h_p + psclys_p --> h_c + psclys_c
408,LYSt2pp,"Transport, Inner Membrane",h_p + lys__L_p --> h_c + lys__L_c
409,GLYt2pp,"Transport, Inner Membrane",gly_p + h_p --> gly_c + h_c
410,ALAt2pp,"Transport, Inner Membrane",ala__L_p + h_p --> ala__L_c + h_c
411,BALAt2pp,"Transport, Inner Membrane",ala_B_p + h_p --> ala_B_c + h_c
412,DALAt2pp,"Transport, Inner Membrane",ala__D_p + h_p --> ala__D_c + h_c
413,GALCTNLt2pp,"Transport, Inner Membrane",galctn__L_p + h_p --> galctn__L_c + h_c
414,THYMt3pp,"Transport, Inner Membrane",h_p + thym_c --> h_c + thym_p
415,ETHAt2pp,"Transport, Inner Membrane",etha_p + h_p --> etha_c + h_c
417,LALADGLUtpp,"Transport, Inner Membrane",LalaDglu_p + h_p --> LalaDglu_c + h_c
418,LALALGLUtpp,"Transport, Inner Membrane",LalaLglu_p + h_p --> LalaLglu_c + h_c
420,5MTRtpp,"Transport, Inner Membrane",5mtr_c + h_c --> 5mtr_p + h_p
421,3HPPtpp,"Transport, Inner Membrane",3hpp_c + h_c --> 3hpp_p + h_p
422,BTNt2ipp,"Transport, Inner Membrane",btn_p + h_p --> btn_c + h_c
423,ARBTptspp,"Transport, Inner Membrane",arbt_p + pep_c --> arbt6p_c + pyr_c
425,PYDXtpp,"Transport, Inner Membrane",pydx_p --> pydx_c
428,PYDXNtpp,"Transport, Inner Membrane",pydxn_p --> pydxn_c
429,PYDAMtpp,"Transport, Inner Membrane",pydam_p --> pydam_c
430,TARTt2_3pp,"Transport, Inner Membrane",3.0 h_p + tartr__D_p --> 3.0 h_c + tartr__D_c
432,CHTBSptspp,"Transport, Inner Membrane",chtbs_p + pep_c --> chtbs6p_c + pyr_c
433,TRPtipp,"Transport, Inner Membrane",trp__L_c --> trp__L_p
434,TYRtipp,"Transport, Inner Membrane",tyr__L_c --> tyr__L_p
435,SPMDt3pp,"Transport, Inner Membrane",h_p + spmd_c --> h_c + spmd_p
436,PHEtipp,"Transport, Inner Membrane",phe__L_c --> phe__L_p
437,MALt3pp,"Transport, Inner Membrane",h_p + mal__L_c --> h_c + mal__L_p
438,CITt3pp,"Transport, Inner Membrane",cit_c + h_p --> cit_p + h_c
440,GLYC2Pabcpp,"Transport, Inner Membrane",atp_c + glyc2p_p + h2o_c --> adp_c + glyc2p_c + h_c + pi_c
441,ALAtpp,"Transport, Inner Membrane",ala__L_c --> ala__L_p
443,2DGLCptspp,"Transport, Inner Membrane",2dglc_p + pep_c --> 2doxg6p_c + pyr_c
444,23DOGULNt4pp,"Transport, Inner Membrane",23doguln_p + na1_p --> 23doguln_c + na1_c
445,CHLt3pp,"Transport, Inner Membrane",chol_c + h_p --> chol_p + h_c
446,GLYBt3pp,"Transport, Inner Membrane",glyb_c + h_p --> glyb_p + h_c
447,AI2tpp,"Transport, Inner Membrane",mththf_c --> mththf_p
448,Ftpp,"Transport, Inner Membrane",f_c --> f_p
449,DHPStr,"Transport, Inner Membrane",dhps_c --> dhps_p
450,SQtr,"Transport, Inner Membrane",sq_p --> sq_c
451,CHOLATEtpp,"Transport, Inner Membrane",cholate_c + h_p --> cholate_p + h_c
453,CYSItpp,"Transport, Inner Membrane",cysi__L_c --> cysi__L_p
454,PUACGAMtr,"Transport, Inner Membrane",puacgam_c --> puacgam_p
455,LEUt2rpp,"Transport, Inner Membrane",h_p + leu__L_p --> h_c + leu__L_c
456,LCTStpp,"Transport, Inner Membrane",h_p + lcts_p --> h_c + lcts_c
457,ILEt3pp,"Transport, Inner Membrane",h_p + ile__L_c --> h_c + ile__L_p
458,METt3pp,"Transport, Inner Membrane",h_p + met__L_c --> h_c + met__L_p
459,GSNt3pp,"Transport, Inner Membrane",gsn_c + h_p --> gsn_p + h_c
460,LEUt3pp,"Transport, Inner Membrane",h_p + leu__L_c --> h_c + leu__L_p
461,INSt3pp,"Transport, Inner Membrane",h_p + ins_c --> h_c + ins_p
462,INDOLEt2rpp,"Transport, Inner Membrane",h_p + indole_p --> h_c + indole_c
463,ILEt2rpp,"Transport, Inner Membrane",h_p + ile__L_p --> h_c + ile__L_c
465,FADt,"Transport, Inner Membrane",fad_c --> fad_p
466,AI2abcpp,"Transport, Inner Membrane",atp_c + h2o_c + mththf_p --> adp_c + h_c + mththf_c + pi_c
467,4HBZt3pp,"Transport, Inner Membrane",4hbz_c + h_p --> 4hbz_p + h_c
468,CH4t2pp,"Transport, Inner Membrane",ch4_c --> ch4_p
469,SERtpp,"Transport, Inner Membrane",ser__L_c --> ser__L_p
470,URATEtpp,"Transport, Inner Membrane",h_p + urate_p --> h_c + urate_c
471,MEPNabcpp,"Transport, Inner Membrane",atp_c + h2o_c + mepn_p --> adp_c + h_c + mepn_c + pi_c
472,VALt2rpp,"Transport, Inner Membrane",h_p + val__L_p --> h_c + val__L_c
473,VALt3pp,"Transport, Inner Membrane",h_p + val__L_c --> h_c + val__L_p
474,MN2tipp,"Transport, Inner Membrane",mn2_c --> mn2_p
475,PSURItpp,"Transport, Inner Membrane",psuri_p --> psuri_c
476,METGLCURt2pp,"Transport, Inner Membrane",h_p + metglcur_p --> h_c + metglcur_c
477,FMNt,"Transport, Inner Membrane",fmn_c --> fmn_p
478,CUt2pp,"Transport, Inner Membrane",cu_c --> cu_p
479,THRt2rpp,"Transport, Inner Membrane",h_p + thr__L_p --> h_c + thr__L_c
480,SERt2rpp,"Transport, Inner Membrane",h_p + ser__L_p --> h_c + ser__L_c
481,URAtpp,"Transport, Inner Membrane",ura_c --> ura_p
505,ACMUMtex,"Transport, Outer Membrane Porin",acmum_e --> acmum_p
533,GLCtex_copy1,"Transport, Outer Membrane Porin",glc__D_e --> glc__D_p
750,ARBTtex,"Transport, Outer Membrane Porin",arbt_e --> arbt_p
763,CPGNtonex,"Transport, Outer Membrane",cpgn_e + h_p --> cpgn_p + h_c
764,FEENTERtonex,"Transport, Outer Membrane",feenter_e + h_p --> feenter_p + h_c
765,MALTTRtexi,"Transport, Outer Membrane",malttr_e --> malttr_p
766,MALTTTRtexi,"Transport, Outer Membrane",maltttr_e --> maltttr_p
767,MALTPTtexi,"Transport, Outer Membrane",maltpt_e --> maltpt_p
768,MALTtexi,"Transport, Outer Membrane",malt_e --> malt_p
769,GLCtex_copy1,"Transport, Outer Membrane",glc__D_e --> glc__D_p
770,FE3DCITtonex,"Transport, Outer Membrane",fe3dcit_e + h_p --> fe3dcit_p + h_c
774,ARBTNtex,"Transport, Outer Membrane",arbtn_p + h_p --> arbtn_e + h_c
775,PHEMEtiex,"Transport, Outer Membrane",pheme_p --> pheme_e
776,DDCAtexi,"Transport, Outer Membrane",ddca_e --> ddca_p
777,TTDCAtexi,"Transport, Outer Membrane",ttdca_e --> ttdca_p
778,HDCAtexi,"Transport, Outer Membrane",hdca_e --> hdca_p
779,OCDCAtexi,"Transport, Outer Membrane",ocdca_e --> ocdca_p
780,OCDCEAtexi,"Transport, Outer Membrane",ocdcea_e --> ocdcea_p
781,FECRMtonex,"Transport, Outer Membrane",fecrm_e + h_p --> fecrm_p + h_c
782,ARBTNtonex,"Transport, Outer Membrane",arbtn_fe3_e + h_p --> arbtn_fe3_p + h_c
784,FE3HOXtonex,"Transport, Outer Membrane",fe3hox_e + h_p --> fe3hox_p + h_c
785,14GLUCANtexi,"Transport, Outer Membrane",14glucan_e --> 14glucan_p
788,CUt3,"Transport, Outer Membrane",cu_c + h_e --> cu_e + h_c
789,TTDCEAtexi,"Transport, Outer Membrane",ttdcea_e --> ttdcea_p
790,HDCEAtexi,"Transport, Outer Membrane",hdcea_e --> hdcea_p
791,MALTHXtexi,"Transport, Outer Membrane",malthx_e --> malthx_p
792,FE3DHBZStonex,"Transport, Outer Membrane",fe3dhbzs_e + h_p --> fe3dhbzs_p + h_c
793,FEOXAMtonex,"Transport, Outer Membrane",feoxam_e + h_p --> feoxam_p + h_c
795,MINOHPtexi,"Transport, Outer Membrane",minohp_e --> minohp_p
796,CMtpp,"Transport, Outer Membrane",cm_p + h_p --> cm_e + h_c
797,FUSAtpp,"Transport, Outer Membrane",fusa_p + h_p --> fusa_e + h_c
799,MINCYCtpp,"Transport, Outer Membrane",h_p + mincyc_p --> h_c + mincyc_e
800,DOXRBCNtpp,"Transport, Outer Membrane",doxrbcn_p + h_p --> doxrbcn_e + h_c
801,NOVBCNtpp,"Transport, Outer Membrane",h_p + novbcn_p --> h_c + novbcn_e
803,TTRCYCtpp,"Transport, Outer Membrane",h_p + ttrcyc_p --> h_c + ttrcyc_e
804,RFAMPtpp,"Transport, Outer Membrane",h_p + rfamp_p --> h_c + rfamp_e
812,CBL1tonex,"Transport, Outer Membrane",cbl1_e + h_p --> cbl1_p + h_c
813,CBItonex,"Transport, Outer Membrane",cbi_e + h_p --> cbi_p + h_c
815,ADOCBLtonex,"Transport, Outer Membrane",adocbl_e + h_p --> adocbl_p + h_c
2,O2tpp_f,Inorganic Ion Transport and Metabolism,o2_p <=> o2_c
2100,O2tpp_b,Inorganic Ion Transport and Metabolism,o2_p <=> o2_c
29,NOtpp_f,Inorganic Ion Transport and Metabolism,no_p <=> no_c
2910,NOtpp_b,Inorganic Ion Transport and Metabolism,no_p <=> no_c
30,N2Otpp_f,Inorganic Ion Transport and Metabolism,n2o_p <=> n2o_c
3010,N2Otpp_b,Inorganic Ion Transport and Metabolism,n2o_p <=> n2o_c
65,NH4tpp_f,Inorganic Ion Transport and Metabolism,nh4_p <=> nh4_c
6510,NH4tpp_b,Inorganic Ion Transport and Metabolism,nh4_p <=> nh4_c
66,NO2t2rpp_f,Inorganic Ion Transport and Metabolism,h_p + no2_p <=> h_c + no2_c
6610,NO2t2rpp_b,Inorganic Ion Transport and Metabolism,h_p + no2_p <=> h_c + no2_c
80,SO2tpp_f,Inorganic Ion Transport and Metabolism,so2_p <=> so2_c
8010,SO2tpp_b,Inorganic Ion Transport and Metabolism,so2_p <=> so2_c
90,CAt6pp_f,Inorganic Ion Transport and Metabolism,ca2_c + na1_p <=> ca2_p + na1_c
901,CAt6pp_b,Inorganic Ion Transport and Metabolism,ca2_c + na1_p <=> ca2_p + na1_c
99,MG2t3_2pp_f,Inorganic Ion Transport and Metabolism,2.0 h_c + mg2_p <=> 2.0 h_p + mg2_c
991,MG2t3_2pp_b,Inorganic Ion Transport and Metabolism,2.0 h_c + mg2_p <=> 2.0 h_p + mg2_c
120,PYRt2rpp_f,"Transport, Inner Membrane",h_p + pyr_p <=> h_c + pyr_c
1201,PYRt2rpp_b,"Transport, Inner Membrane",h_p + pyr_p <=> h_c + pyr_c
121,XANtpp_f,"Transport, Inner Membrane",xan_p <=> xan_c
1211,XANtpp_b,"Transport, Inner Membrane",xan_p <=> xan_c
123,SUCFUMtpp_f,"Transport, Inner Membrane",fum_p + succ_c <=> fum_c + succ_p
1231,SUCFUMtpp_b,"Transport, Inner Membrane",fum_p + succ_c <=> fum_c + succ_p
125,TARTRt7pp_f,"Transport, Inner Membrane",succ_c + tartr__L_p <=> succ_p + tartr__L_c
1251,TARTRt7pp_b,"Transport, Inner Membrane",succ_c + tartr__L_p <=> succ_p + tartr__L_c
128,AKGt2rpp_f,"Transport, Inner Membrane",akg_p + h_p <=> akg_c + h_c
1281,AKGt2rpp_b,"Transport, Inner Membrane",akg_p + h_p <=> akg_c + h_c
131,THMDt2pp_copy2_f,"Transport, Inner Membrane",h_p + thymd_p <=> h_c + thymd_c
1311,THMDt2pp_copy2_b,"Transport, Inner Membrane",h_p + thymd_p <=> h_c + thymd_c
134,TRPt2rpp_f,"Transport, Inner Membrane",h_p + trp__L_p <=> h_c + trp__L_c
1341,TRPt2rpp_b,"Transport, Inner Membrane",h_p + trp__L_p <=> h_c + trp__L_c
135,TYRt2rpp_f,"Transport, Inner Membrane",h_p + tyr__L_p <=> h_c + tyr__L_c
1351,TYRt2rpp_b,"Transport, Inner Membrane",h_p + tyr__L_p <=> h_c + tyr__L_c
137,URIt2pp_copy2_f,"Transport, Inner Membrane",h_p + uri_p <=> h_c + uri_c
1371,URIt2pp_copy2_b,"Transport, Inner Membrane",h_p + uri_p <=> h_c + uri_c
139,XTSNt2rpp_f,"Transport, Inner Membrane",h_p + xtsn_p <=> h_c + xtsn_c
1391,XTSNt2rpp_b,"Transport, Inner Membrane",h_p + xtsn_p <=> h_c + xtsn_c
144,ACACt2pp_f,"Transport, Inner Membrane",acac_p + h_p <=> acac_c + h_c
1441,ACACt2pp_b,"Transport, Inner Membrane",acac_p + h_p <=> acac_c + h_c
148,ARBt2rpp_f,"Transport, Inner Membrane",arab__L_p + h_p <=> arab__L_c + h_c
1481,ARBt2rpp_b,"Transport, Inner Membrane",arab__L_p + h_p <=> arab__L_c + h_c
150,CO2tpp_f,"Transport, Inner Membrane",co2_p <=> co2_c
1501,CO2tpp_b,"Transport, Inner Membrane",co2_p <=> co2_c
151,DHAtpp_f,"Transport, Inner Membrane",dha_p <=> dha_c
1511,DHAtpp_b,"Transport, Inner Membrane",dha_p <=> dha_c
153,ARGAGMt7pp_f,"Transport, Inner Membrane",agm_c + arg__L_p <=> agm_p + arg__L_c
1531,ARGAGMt7pp_b,"Transport, Inner Membrane",agm_c + arg__L_p <=> agm_p + arg__L_c
155,ASNt2rpp_f,"Transport, Inner Membrane",asn__L_p + h_p <=> asn__L_c + h_c
1551,ASNt2rpp_b,"Transport, Inner Membrane",asn__L_p + h_p <=> asn__L_c + h_c
160,GALCTt2rpp_f,"Transport, Inner Membrane",galct__D_p + h_p <=> galct__D_c + h_c
1601,GALCTt2rpp_b,"Transport, Inner Membrane",galct__D_p + h_p <=> galct__D_c + h_c
165,ACALDtpp_f,"Transport, Inner Membrane",acald_p <=> acald_c
1651,ACALDtpp_b,"Transport, Inner Membrane",acald_p <=> acald_c
166,ACt2rpp_f,"Transport, Inner Membrane",ac_p + h_p <=> ac_c + h_c
1661,ACt2rpp_b,"Transport, Inner Membrane",ac_p + h_p <=> ac_c + h_c
168,ADEt2rpp_f,"Transport, Inner Membrane",ade_p + h_p <=> ade_c + h_c
1681,ADEt2rpp_b,"Transport, Inner Membrane",ade_p + h_p <=> ade_c + h_c
170,ADNt2pp_copy2_f,"Transport, Inner Membrane",adn_p + h_p <=> adn_c + h_c
1701,ADNt2pp_copy2_b,"Transport, Inner Membrane",adn_p + h_p <=> adn_c + h_c
173,ALLTNt2rpp_f,"Transport, Inner Membrane",alltn_p + h_p <=> alltn_c + h_c
1731,ALLTNt2rpp_b,"Transport, Inner Membrane",alltn_p + h_p <=> alltn_c + h_c
175,GUAtpp_f,"Transport, Inner Membrane",gua_p <=> gua_c
1751,GUAtpp_b,"Transport, Inner Membrane",gua_p <=> gua_c
176,HYXNtpp_f,"Transport, Inner Membrane",hxan_p <=> hxan_c
1761,HYXNtpp_b,"Transport, Inner Membrane",hxan_p <=> hxan_c
185,FUCtpp_f,"Transport, Inner Membrane",fuc__L_p + h_p <=> fuc__L_c + h_c
1851,FUCtpp_b,"Transport, Inner Membrane",fuc__L_p + h_p <=> fuc__L_c + h_c
191,CYTDt2pp_copy2_f,"Transport, Inner Membrane",cytd_p + h_p <=> cytd_c + h_c
1911,CYTDt2pp_copy2_b,"Transport, Inner Membrane",cytd_p + h_p <=> cytd_c + h_c
194,DDGLCNt2rpp_f,"Transport, Inner Membrane",2ddglcn_p + h_p <=> 2ddglcn_c + h_c
1941,DDGLCNt2rpp_b,"Transport, Inner Membrane",2ddglcn_p + h_p <=> 2ddglcn_c + h_c
197,BUTt2rpp_f,"Transport, Inner Membrane",but_p + h_p <=> but_c + h_c
1971,BUTt2rpp_b,"Transport, Inner Membrane",but_p + h_p <=> but_c + h_c
208,CRNt2rpp_f,"Transport, Inner Membrane",crn_p + h_p <=> crn_c + h_c
2081,CRNt2rpp_b,"Transport, Inner Membrane",crn_p + h_p <=> crn_c + h_c
209,CRNDt2rpp_f,"Transport, Inner Membrane",crn__D_p + h_p <=> crn__D_c + h_c
2091,CRNDt2rpp_b,"Transport, Inner Membrane",crn__D_p + h_p <=> crn__D_c + h_c
210,CTBTt2rpp_f,"Transport, Inner Membrane",ctbt_p + h_p <=> ctbt_c + h_c
2101,CTBTt2rpp_b,"Transport, Inner Membrane",ctbt_p + h_p <=> ctbt_c + h_c
211,PACALDt2rpp_f,"Transport, Inner Membrane",h_p + pacald_p <=> h_c + pacald_c
2111,PACALDt2rpp_b,"Transport, Inner Membrane",h_p + pacald_p <=> h_c + pacald_c
215,FALDtpp_f,"Transport, Inner Membrane",fald_p <=> fald_c
2151,FALDtpp_b,"Transport, Inner Membrane",fald_p <=> fald_c
220,IDONt2rpp_f,"Transport, Inner Membrane",h_p + idon__L_p <=> h_c + idon__L_c
2201,IDONt2rpp_b,"Transport, Inner Membrane",h_p + idon__L_p <=> h_c + idon__L_c
226,L_LACt2rpp_f,"Transport, Inner Membrane",h_p + lac__L_p <=> h_c + lac__L_c
2261,L_LACt2rpp_b,"Transport, Inner Membrane",h_p + lac__L_p <=> h_c + lac__L_c
247,PROt2rpp_f,"Transport, Inner Membrane",h_p + pro__L_p <=> h_c + pro__L_c
2471,PROt2rpp_b,"Transport, Inner Membrane",h_p + pro__L_p <=> h_c + pro__L_c
258,GLUABUTt7pp_f,"Transport, Inner Membrane",4abut_c + glu__L_p <=> 4abut_p + glu__L_c
2581,GLUABUTt7pp_b,"Transport, Inner Membrane",4abut_c + glu__L_p <=> 4abut_p + glu__L_c
259,GLUt2rpp_f,"Transport, Inner Membrane",glu__L_p + h_p <=> glu__L_c + h_c
2591,GLUt2rpp_b,"Transport, Inner Membrane",glu__L_p + h_p <=> glu__L_c + h_c
261,GLYALDtpp_f,"Transport, Inner Membrane",glyald_p <=> glyald_c
2611,GLYALDtpp_b,"Transport, Inner Membrane",glyald_p <=> glyald_c
265,FRUURt2rpp_f,"Transport, Inner Membrane",fruur_p + h_p <=> fruur_c + h_c
2651,FRUURt2rpp_b,"Transport, Inner Membrane",fruur_p + h_p <=> fruur_c + h_c
266,GLYCAt2rpp_f,"Transport, Inner Membrane",glyc__R_p + h_p <=> glyc__R_c + h_c
2661,GLYCAt2rpp_b,"Transport, Inner Membrane",glyc__R_p + h_p <=> glyc__R_c + h_c
270,GLYCtpp_f,"Transport, Inner Membrane",glyc_c <=> glyc_p
2701,GLYCtpp_b,"Transport, Inner Membrane",glyc_c <=> glyc_p
271,H2Otpp_f,"Transport, Inner Membrane",h2o_p <=> h2o_c
2711,H2Otpp_b,"Transport, Inner Membrane",h2o_p <=> h2o_c
272,HCINNMt2rpp_f,"Transport, Inner Membrane",3hcinnm_p + h_p <=> 3hcinnm_c + h_c
2721,HCINNMt2rpp_b,"Transport, Inner Membrane",3hcinnm_p + h_p <=> 3hcinnm_c + h_c
274,HISt2rpp_f,"Transport, Inner Membrane",h_p + his__L_p <=> h_c + his__L_c
2741,HISt2rpp_b,"Transport, Inner Membrane",h_p + his__L_p <=> h_c + his__L_c
277,GALURt2rpp_f,"Transport, Inner Membrane",galur_p + h_p <=> galur_c + h_c
2771,GALURt2rpp_b,"Transport, Inner Membrane",galur_p + h_p <=> galur_c + h_c
278,GLCNt2rpp_f,"Transport, Inner Membrane",glcn_p + h_p <=> glcn_c + h_c
2781,GLCNt2rpp_b,"Transport, Inner Membrane",glcn_p + h_p <=> glcn_c + h_c
280,GLCRt2rpp_f,"Transport, Inner Membrane",glcr_p + h_p <=> glcr_c + h_c
2801,GLCRt2rpp_b,"Transport, Inner Membrane",glcr_p + h_p <=> glcr_c + h_c
282,GLCURt2rpp_f,"Transport, Inner Membrane",glcur_p + h_p <=> glcur_c + h_c
2821,GLCURt2rpp_b,"Transport, Inner Membrane",glcur_p + h_p <=> glcur_c + h_c
284,UREAtpp_f,"Transport, Inner Membrane",urea_p <=> urea_c
2841,UREAtpp_b,"Transport, Inner Membrane",urea_p <=> urea_c
287,PPPNt2rpp_f,"Transport, Inner Membrane",h_p + pppn_p <=> h_c + pppn_c
2871,PPPNt2rpp_b,"Transport, Inner Membrane",h_p + pppn_p <=> h_c + pppn_c
288,PTRCORNt7pp_f,"Transport, Inner Membrane",orn_c + ptrc_p <=> orn_p + ptrc_c
2881,PTRCORNt7pp_b,"Transport, Inner Membrane",orn_c + ptrc_p <=> orn_p + ptrc_c
294,GLYCLTt2rpp_f,"Transport, Inner Membrane",glyclt_p + h_p <=> glyclt_c + h_c
2941,GLYCLTt2rpp_b,"Transport, Inner Membrane",glyclt_p + h_p <=> glyclt_c + h_c
296,HPPPNt2rpp_f,"Transport, Inner Membrane",3hpppn_p + h_p <=> 3hpppn_c + h_c
2961,HPPPNt2rpp_b,"Transport, Inner Membrane",3hpppn_p + h_p <=> 3hpppn_c + h_c
299,ARGORNt7pp_f,"Transport, Inner Membrane",arg__L_p + orn_c <=> arg__L_c + orn_p
2991,ARGORNt7pp_b,"Transport, Inner Membrane",arg__L_p + orn_c <=> arg__L_c + orn_p
319,HEXt2rpp_f,"Transport, Inner Membrane",h_p + hxa_p <=> h_c + hxa_c
3191,HEXt2rpp_b,"Transport, Inner Membrane",h_p + hxa_p <=> h_c + hxa_c
341,D_LACt2pp_f,"Transport, Inner Membrane",h_p + lac__D_p <=> h_c + lac__D_c
3411,D_LACt2pp_b,"Transport, Inner Membrane",h_p + lac__D_p <=> h_c + lac__D_c
342,12PPDStpp_f,"Transport, Inner Membrane",12ppd__S_p <=> 12ppd__S_c
3421,12PPDStpp_b,"Transport, Inner Membrane",12ppd__S_p <=> 12ppd__S_c
343,H2tpp_f,"Transport, Inner Membrane",h2_p <=> h2_c
3431,H2tpp_b,"Transport, Inner Membrane",h2_p <=> h2_c
344,PHEt2rpp_f,"Transport, Inner Membrane",h_p + phe__L_p <=> h_c + phe__L_c
3441,PHEt2rpp_b,"Transport, Inner Membrane",h_p + phe__L_p <=> h_c + phe__L_c
347,12PPDRtpp_f,"Transport, Inner Membrane",12ppd__R_p <=> 12ppd__R_c
3471,12PPDRtpp_b,"Transport, Inner Membrane",12ppd__R_p <=> 12ppd__R_c
350,PPALtpp_f,"Transport, Inner Membrane",ppal_c <=> ppal_p
3501,PPALtpp_b,"Transport, Inner Membrane",ppal_c <=> ppal_p
401,5DGLCNt2rpp_f,"Transport, Inner Membrane",5dglcn_p + h_p <=> 5dglcn_c + h_c
4011,5DGLCNt2rpp_b,"Transport, Inner Membrane",5dglcn_p + h_p <=> 5dglcn_c + h_c
416,ETOHtrpp_f,"Transport, Inner Membrane",etoh_p <=> etoh_c
4161,ETOHtrpp_b,"Transport, Inner Membrane",etoh_p <=> etoh_c
419,MEOHtrpp_f,"Transport, Inner Membrane",meoh_p <=> meoh_c
4191,MEOHtrpp_b,"Transport, Inner Membrane",meoh_p <=> meoh_c
424,DMSOtpp_f,"Transport, Inner Membrane",dmso_p <=> dmso_c
4241,DMSOtpp_b,"Transport, Inner Membrane",dmso_p <=> dmso_c
426,SUCASPtpp_f,"Transport, Inner Membrane",asp__L_p + succ_c <=> asp__L_c + succ_p
4261,SUCASPtpp_b,"Transport, Inner Membrane",asp__L_p + succ_c <=> asp__L_c + succ_p
427,SUCMALtpp_f,"Transport, Inner Membrane",mal__L_p + succ_c <=> mal__L_c + succ_p
4271,SUCMALtpp_b,"Transport, Inner Membrane",mal__L_p + succ_c <=> mal__L_c + succ_p
431,SUCTARTtpp_f,"Transport, Inner Membrane",succ_c + tartr__D_p <=> succ_p + tartr__D_c
4311,SUCTARTtpp_b,"Transport, Inner Membrane",succ_c + tartr__D_p <=> succ_p + tartr__D_c
439,QUIN2tpp_f,"Transport, Inner Membrane",quin_p <=> quin_c
4391,QUIN2tpp_b,"Transport, Inner Membrane",quin_p <=> quin_c
442,DXYLONtpp_f,"Transport, Inner Membrane",dxylnt_p <=> dxylnt_c
4421,DXYLONtpp_b,"Transport, Inner Membrane",dxylnt_p <=> dxylnt_c
452,4ABZGLUtr_f,"Transport, Inner Membrane",4abzglu_p + h_p <=> 4abzglu_c + h_c
4521,4ABZGLUtr_b,"Transport, Inner Membrane",4abzglu_p + h_p <=> 4abzglu_c + h_c
464,GLYtpp_f,"Transport, Inner Membrane",gly_c <=> gly_p
4641,GLYtpp_b,"Transport, Inner Membrane",gly_c <=> gly_p
