"reaction_id","direction","value","par_type","unit","condition","notes"
"IMPC","bwd",7.83467699709436,"k_app","s-1","Glucose","median of calculated k_app"
"IMPD","fwd",1.27458775649208,"k_app","s-1","Glucose","median of calculated k_app"
"IPMD","fwd",6.37229853315127,"k_app","s-1","Glucose","median of calculated k_app"
"IPPS","fwd",8.54240063715311,"k_app","s-1","Glucose","median of calculated k_app"
"KARA1","bwd",3.04606993655578,"k_app","s-1","Glucose","median of calculated k_app"
"KARA2","fwd",1.0122252549118,"k_app","s-1","Glucose","median of calculated k_app"
"KAS15","fwd",12.8196587965394,"k_app","s-1","Glucose","median of calculated k_app"
"MTHFC","fwd",35.3763455619602,"k_app","s-1","Glucose","median of calculated k_app"
"MTHFD","fwd",35.3763455619602,"k_app","s-1","Glucose","median of calculated k_app"
"MTHFR2","fwd",2.60358491249075,"k_app","s-1","Glucose","median of calculated k_app"
"OMPDC","fwd",17.8880442697449,"k_app","s-1","Glucose","median of calculated k_app"
"ORPT","bwd",27.6977892323171,"k_app","s-1","Glucose","median of calculated k_app"
"P5CR","fwd",15.4601105934929,"k_app","s-1","Glucose","median of calculated k_app"
"PGI","fwd",105.334640283576,"k_app","s-1","Glucose","median of calculated k_app"
"PGK","bwd",78.3161052746326,"k_app","s-1","Glucose","median of calculated k_app"
"PPND","fwd",8.61492478443366,"k_app","s-1","Glucose","median of calculated k_app"
"PPNDH","fwd",16.8022163796283,"k_app","s-1","Glucose","median of calculated k_app"
"PRAGSr","fwd",10.5480556362919,"k_app","s-1","Glucose","median of calculated k_app"
"PRAIS","fwd",9.41443440721786,"k_app","s-1","Glucose","median of calculated k_app"
"PRAIi","fwd",3.13419295866496,"k_app","s-1","Glucose","median of calculated k_app"
"PRAMPC","fwd",4.68730033091575,"k_app","s-1","Glucose","median of calculated k_app"
"PRASCSi","fwd",4.05284273762496,"k_app","s-1","Glucose","median of calculated k_app"
"PRATPP","fwd",4.68730033091575,"k_app","s-1","Glucose","median of calculated k_app"
