,id,conc,z_log_c
0,glc__D_p,0.22989670038402701,-0.0019364687014313312
1,anth_c,0.23439672548862503,-4.945873580547433e-06
2,3oddecACP_c,0.2343989653212384,-1.754764265438774e-07
3,fdp_c,1.160958118860339,0.0
4,glx_c,0.19900765259314868,-0.08171330143641324
5,so4_p,0.7225705546471655,0.11240354268041723
6,nh4_e,9.350000441704587,4.724113086759796e-07
7,3ocmrs7eACP_c,0.23439906873623625,4.4775811565422874e-08
8,f6p_c,0.3496130849072938,0.457899685583261
9,tpalm2eACP_c,0.23439893138657517,-2.4775015755942875e-07
10,for_c,0.2343961517516502,-6.167826347325267e-06
11,acser_c,0.23438856870886823,-2.2318574411209907e-05
12,t3c7mrseACP_c,0.23439897620856043,-1.5228871161343527e-07
13,3c3hmp_c,0.6282629784142972,0.49219858554476376
14,3hcmrs7eACP_c,0.2343989435939704,-2.2175095871958955e-07
15,glyc_e,0.2176645684863522,-0.007395434933965786
16,gthox_c,0.2344090625668352,2.132907878237857e-05
17,gthrd_c,0.23439030328209823,-1.862414652244659e-05
18,3psme_c,0.23439964182548767,1.2653338601065212e-06
19,phe__L_c,0.11014605311654516,1.0245583327017638e-06
20,ru5p__D_c,0.6587563922927536,9.954093176924028e-06
21,co2_c,0.158348092601347,-0.19580897118488588
22,cit_c,0.7065267642123905,0.05565103787819562
23,acon_C_c,0.021482797284156568,-1.1930239136625551
24,pyr_e,0.17409887415832562,-0.029693808728281902
25,trp__L_c,0.2344030734279237,8.57385375152564e-06
26,glyc3p_c,0.10737301788253699,-8.808016555071282e-05
27,3dhq_c,0.2343971661919731,-4.007259662264229e-06
28,so4_e,1.0000000673209832,6.732098180375901e-07
29,glyc_p,0.22627361078028624,-0.0035225073656139153
30,3mob_c,0.23439316337534333,-1.2532558973377128e-05
31,met__L_c,0.23439983762716995,1.6823490576467481e-06
32,2dda7p_c,0.23440042906091277,2.941972784248348e-06
33,ump_c,0.23439794492975352,-2.3487013114387167e-06
34,chor_c,0.23439868317579585,-7.763874889932243e-07
35,25aics_c,1.5013780505814942,0.9271095945303258
36,pram_c,0.2343993624710042,6.703686800876851e-07
37,lac__D_e,0.033885133137093765,-0.19310342355623236
38,lac__D_c,0.27360766235487927,0.07721456417407727
39,myrsACP_c,0.23439893977200157,-2.2989095320793962e-07
40,23dhdp_c,0.23441676921396248,3.774164628600474e-05
41,23dhmb_c,0.23439917797517137,2.774317072740118e-07
42,etoh_c,0.23542104212142795,0.0021719019014904695
43,gtp_c,1.3682461646777908,0.00011553040978255248
44,but2eACP_c,0.23439811231340463,-1.9922077667787474e-06
45,glu__L_e,0.23388126983154273,-0.0002207955654768968
46,3c2hmp_c,0.1262158372887741,-0.3090333709428282
47,dttp_c,0.23439852107070946,-1.121637907254558e-06
48,o2_p,0.00795833225418847,-0.33775331208966475
49,dhap_c,1.320289442634402,6.664022909308974e-06
50,pyr_c,1.4058053658750043,0.0016923752112019477
51,5aizc_c,0.006600396874364355,-1.7821656034477957
52,ctp_c,0.23439836878533113,-1.4459745884126685e-06
53,so3_c,0.23439859015106654,-9.745109575132194e-07
54,g3p_c,0.22209776853914312,-0.026911645903208548
55,xmp_c,0.15767496498499695,-0.1979356498750638
56,pap_c,0.2343995298468462,1.026843437432201e-06
57,pyr_p,0.17433682842950662,-0.02955743726414057
58,2ippm_c,0.5106635675673679,0.38873617222330437
59,acglu_c,6.839168562224855,1.684069352913903
60,oaa_c,0.23439903115280314,-3.526900077543971e-08
61,hdeACP_c,0.234398827415318,-4.691872410363812e-07
62,nadp_c,0.011288198499388433,0.0
63,alac__S_c,0.23439919658903535,3.170753016396022e-07
64,5mthf_c,0.23439791278122865,-2.4171712397769163e-06
65,indole_c,0.23440469584469628,1.2029189165541077e-05
66,3ooctACP_c,0.2343989967743332,-1.0848792605239188e-07
67,tmrs2eACP_c,0.23439896821566847,-1.6931189626007148e-07
68,h2o_c,1000.0,0.0
69,o2_e,0.008273008765765444,0.08864105688160898
70,ala__L_c,0.23440150394707698,5.231235648078814e-06
71,nadph_c,0.11407585948947795,0.01998872766519566
72,actp_c,0.23440225019029948,6.820557677769679e-06
73,trdrd_c,0.2343987232591187,-6.910183103520789e-07
74,2ahbut_c,0.23439832726187373,-1.5344110887577367e-06
75,thr__L_c,0.23439898526165315,-1.3300752108036384e-07
76,mal__L_c,1.6853482551850492,8.002102956662649e-05
77,3hcddec5eACP_c,0.23439917962572399,2.8094703547268396e-07
78,glu__L_c,30.651466799660735,0.0
79,13dpg_c,0.05068567833795092,-0.0568547723320688
80,suchms_c,0.23440251575232887,7.386140936038732e-06
81,dgdp_c,0.23439886546050276,-3.8815892395432927e-07
82,for_p,0.23489210858819967,0.00020980262234845948
83,malcoa_c,0.26228920708468506,0.05612376131838466
84,xu5p__D_c,0.5995592627806908,0.11234559160347933
85,glyc_c,0.23542733533629204,0.0021852467627649363
86,dctp_c,0.23439926279207518,4.5807375225609404e-07
87,paps_c,0.23439998985554608,2.00656230477797e-06
88,amp_c,0.4822150730795175,-0.00014947277125081614
