,id,v,drg0,drg,z_drg,z_drg0,sp_drg
0,NDPK5,0.017586749248432145,0.7061647513516324,-3.7841549415742213,-0.09076665756955586,-0.29024059843330163,4.112436550308121e-10
1,SHK3Dr,0.24736406934157046,-3.9450725587841005,-9.909951549820416,-0.0005618965212301485,-3.5646093050727135e-07,1.5348142353113057e-10
2,NDPK6,0.017032789755875022,-1.5809613683473387,-6.071294356535974,-0.06258876545447921,-0.3635086369072542,2.53140423290341e-10
3,NDPK8,0.017032789755875022,2.0041111460262946,-2.48620922044219,-0.0625402185801492,-0.31729573862074073,6.357663526235074e-10
4,DHORTS,-0.21533141050579674,-9.637185444115971,0.09999994808165624,1.3682388032213857,0.3088587410199687,0.3649278599390725
5,OMPDC,0.21533141050579674,-22.09941521123378,-44.66516852506248,-0.23293243866881805,-0.21841501900829902,3.2531379465186464e-11
6,G5SD,0.14389602306370683,-4.6260483797672025,-17.444393900349336,1.684323791695618,0.38417291785119206,8.612971178587987e-11
7,CS,1.0435649887171041,-41.755661303884025,-49.79183748167569,-1.2118150232625928,0.0207630299829948,2.900234049136816e-11
8,ICDHyr,1.0420952287729948,5.29590209995473,-0.10000007559809365,-0.18181470776792738,-0.023389175900171956,0.07914618796639003
9,ACALD,-0.002028488553248467,-23.82698692599148,0.10000035128133433,1.53631466546859,0.24593423700358658,0.2219326647517958
10,PPA,2.038057983044803,-15.647108598815938,-27.817401534874946,0.8121874411388945,-0.008318992877318503,5.330043739732274e-11
11,PPCK,2.674968795071371,10.923452300651332,-15.075611059617653,-0.16707491030325827,-0.10309149138597717,1.0000192844237625e-10
12,ME1,1.9883193931100682,11.730890449736256,-22.54152066000449,-0.21987433326395425,-0.09336235078361553,6.620749026332565e-11
13,ALATA_L,-2.0200000000469842e-06,-0.21583705764866773,14.398751651720982,0.00842809056138074,0.07009868392534777,1.0480960192082815e-10
14,GLYK,3.8181265522173806,-19.1532980734923,-25.668144927488985,-0.004168423788690409,-0.005746261484052342,5.791607082055765e-11
15,ASPTA,-1.9048037106089404,2.8615230845131836,8.244416900226923,0.0021641261701074166,0.02364208160524761,1.8518495089366293e-10
16,FBP,3.8137637712947083,-10.56190613791688,-30.528761671007274,0.92141663099022,0.03111929234843991,4.840741861186492e-11
17,PYK,2.651049576439342,-22.76463748215528,-14.711978038374152,0.022859668362403336,0.057514128607789844,1.0252950392890935e-10
18,GTHOr,0.018397875473898477,-10.803749582111902,-38.3230089599871,-0.00031500194729102533,0.0007936634967796588,3.820386563952863e-11
19,ILETA,-0.1891202084760611,-6.352762759219366,3.6425152927821194,-0.006146444143128845,-0.015865536107293896,4.277503840930029e-10
20,DHORD5,0.16204887116184882,-15.949291843768991,-11.080697058062043,0.5788858448012016,0.3546827970142259,1.36952119567488e-10
21,VALTA,-0.6550638677903351,1.3951131200146367,11.390358192050812,0.007294212828600155,0.015335751463368089,1.3315279824251325e-10
22,IPPMIb,-0.2932737063939513,-0.434436093280865,0.10000023232832733,0.06572612239563519,-0.020033327210969287,0.19057084836867433
23,ORPT,-0.21533141050579674,1.2108544976722166,1.2301105522879558,0.001849006864504149,-5.25554998007105e-07,1.3441315775508299e-09
24,ACHBS,0.1891202084760611,-15.51926243770253,-21.150048314185636,-0.14477581685108937,-0.0954197180789739,7.068896007781714e-11
25,DHAD2,0.1891202084760611,-37.48990021947108,-37.48989870604043,-0.07550396038224161,-0.401038599209667,3.909164107386519e-11
26,ACLS,0.569106476613892,-24.047998371075575,-34.29811363682392,-0.16242899457858065,-0.09067900543031668,4.289285149479707e-11
27,TRPS2,0.03700202048816035,-50.261942782777126,-29.570630203094588,-0.07873815201280057,0.13635670109848605,5.003398527766735e-11
28,PSCVT,0.24736406934157046,-16.22587622777337,-12.600509978917263,0.4681430443978587,-0.1495109268684652,1.2011127876440294e-10
29,PFL,2.596494859709739,-20.209477031742548,-13.947456563508805,1.2063986919787937,0.06376615912574679,1.0827646260568154e-10
30,ANS,0.03700202048816035,-109.81972037287072,-120.217837942974,0.27263133164393094,0.37936523768414343,1.0931484850280163e-11
31,FRD2,0.059911245625053,-35.11209674891974,-33.09425299470811,-0.10709924548866001,-0.18929032842502463,4.451733149872198e-11
32,ANPRT,0.03700202048816035,-61.70110641052666,-61.720356739948855,0.37262580953643737,1.1308845791450606,2.3057826648956175e-11
33,CHORM,0.21036204885341012,-49.6641389283261,-49.66415225861814,-0.10853631234949765,-0.20246504609353166,2.9081355521002664e-11
34,PTAr,0.002072610493617888,9.363408233432438,-6.200293065066084,-1.506284961668745,-0.04048773426207651,2.4775590687448235e-10
35,CHORS,0.24736406934157046,-48.38754464650868,-65.25948443518556,0.3432756506126666,-0.350252628650247,2.17112512408833e-11
36,IGPS,0.03700202048816035,-72.21932157783243,-94.7850613576733,-0.3122097797841774,-0.3915777357211676,1.438062258946371e-11
37,ACKr,-0.002072610493617888,14.676151414385851,9.787317499707026,-0.056232353371756805,-0.024447928730219115,1.5544476003956854e-10
38,LEUTAi,0.2932737063939513,-0.014286004429492752,-10.009563198304269,-0.007763660951664477,-0.033082085164422945,1.5192286940285024e-10
39,ENO,7.834481361292902,-3.877945799278016,-2.8209506144852297,0.003228684747925731,0.055369200785746614,5.573653909579818e-10
40,FBA,-0.002320228827340483,24.82630482440729,3.464647711554656,-0.030991087271581563,-0.04157529167169702,4.504407889956953e-10
41,HCO3E,2.269687910324563,-11.079456066114457,-10.068047211126018,0.15167933950095086,0.06202611327026848,1.5102297767319685e-10
