	bigg_reaction_id	biocyc_reaction_id
110	AKGDH	ECOLI:2OXOGLUTARATEDEH-RXN
111	ATPPRT	ECOLI:ATPPHOSPHORIBOSYLTRANS-RXN
112	HISTD	ECOLI:RXN-8001
113	DHDPS	ECOLI:DIHYDRODIPICSYN-RXN
114	IGPDH	ECOLI:IMIDPHOSDEHYD-RXN
115	PRPPS	ECOLI:PRPPSYN-RXN
116	PRATPP	ECOLI:HISTPRATPHYD-RXN
117	GLUN	ECOLI:GLUTAMIN-RXN
118	PRMICI	ECOLI:PRIBFAICARPISOM-RXN
119	GLUPRT	ECOLI:PRPPAMIDOTRANS-RXN
120	SERAT	ECOLI:SERINE-O-ACETTRAN-RXN
121	CYSS	ECOLI:ACSERLY-RXN
122	BPNT	ECOLI:325-BISPHOSPHATE-NUCLEOTIDASE-RXN
123	PAPSR	ECOLI:1.8.4.8-RXN
124	ASPK	ECOLI:ASPARTATEKIN-RXN
125	ASAD	ECOLI:ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
126	DAPDC	ECOLI:DIAMINOPIMDECARB-RXN
127	OCBT	ECOLI:ORNCARBAMTRANSFER-RXN
128	GARFT	ECOLI:GART-RXN
129	PHETA1	ECOLI:RXN-10814
130	PPND	ECOLI:PREPHENATEDEHYDROG-RXN
131	PRAMPC	ECOLI:HISTCYCLOHYD-RXN
132	GLYCK2	ECOLI:GKI-RXN
133	ACOTA	ECOLI:ACETYLORNTRANSAM-RXN
134	SULR	ECOLI:SULFITE-REDUCT-RXN
135	PRAGSr	ECOLI:GLYRIBONUCSYN-RXN
136	PRFGS	ECOLI:FGAMSYN-RXN
137	PSERT	ECOLI:PSERTRANSAM-RXN
138	AIRC2	ECOLI:RXN0-742
139	GAPD	ECOLI:GAPOXNPHOSPHN-RXN
140	GND	ECOLI:RXN-9952
141	G6PDH2r	ECOLI:GLU6PDEHYDROG-RXN
142	ME2	ECOLI:MALIC-NADP-RXN
143	ARGSL	ECOLI:ARGSUCCINLYA-RXN
144	CBPS	ECOLI:CARBPSYN-RXN
145	GLU5K	ECOLI:GLUTKIN-RXN
146	IPPS	ECOLI:2-ISOPROPYLMALATESYN-RXN
147	ACOATA	ECOLI:ACP-S-ACETYLTRANSFER-RXN
148	ACtex	ECOLI:RXN0-2481
149	ACALDtex	ECOLI:RXN0-2481
150	PSP_L	ECOLI:RXN0-5114
151	ADSK	ECOLI:ADENYLYLSULFKIN-RXN
152	SUCCt2_2pp	ECOLI:TRANS-RXN-121
153	HSDy	ECOLI:HOMOSERDEHYDROG-RXN
154	CYSTL	ECOLI:CYSTATHIONINE-BETA-LYASE-RXN
155	SHSL1	ECOLI:O-SUCCHOMOSERLYASE-RXN
156	SULabcpp	ECOLI:ABC-70-RXN
157	GLUtex	ECOLI:RXN0-2481
158	AKGt2rpp	ECOLI:TRANS-RXN-23
159	XYLt2pp	ECOLI:TRANS-RXN-30
160	GLYCtex	ECOLI:RXN0-2481
161	Htex	ECOLI:RXN0-2481
162	H2Otex	ECOLI:TRANS-RXN0-603
163	O2tpp	ECOLI:TRANS-RXN0-474
164	PYRt2rpp	ECOLI:TRANS-RXN-335
165	THD2pp	ECOLI:TRANS-RXN0-277
