,0
SUCOAS,2.2737367544323206e-13
PRAIS,-1.1368683772161603e-13
HISTP,0.0
LDH_D,-2.2737367544323206e-13
KAS15,0.0
T2DECAI,0.0
3OAS161,-1.1368683772161603e-13
DHQS,-5.684341886080802e-14
EAR161x,-4.547473508864641e-13
EAR161y,-4.547473508864641e-13
PGCD,-8.526512829121202e-14
MALtex,-0.04442433100211929
3OAS141,2.2737367544323206e-13
3OAR121,0.0
ADSL1r,-1.1368683772161603e-13
AICART,-1.1368683772161603e-13
D_LACt2pp,-31.692231864822617
RIBtex,-0.5934874881052679
FRUpts2pp,-63.384463729645205
FORtex,0.03713658330946856
PFK,1.1368683772161603e-13
PGM,0.0
CYTBO3_4pp,107.86633499469644
EAR141x,2.2737367544323206e-13
EAR141y,0.0
EAR181x,2.2737367544323206e-13
EAR181y,4.547473508864641e-13
TPI,0.0
RPI,0.0
3OAR120,2.2737367544323206e-13
3HAD80,-2.842170943040401e-14
3HAD120,0.0
EAR180x,2.2737367544323206e-13
AKGtex,-0.04442433100211929
SO4t2pp,2.919214586062893
EAR180y,0.0
ACONTb,2.842170943040401e-14
3HAD161,4.263256414560601e-13
SUCDi,2.2737367544323206e-13
ASNS1,-1.1368683772161603e-13
EAR80y,2.2737367544323206e-13
EAR120y,0.0
3OAR181,0.0
3HAD121,2.2737367544323206e-13
EAR140x,0.0
3OAS181,-1.1368683772161603e-13
3OAS140,2.2737367544323206e-13
3OAR140,2.2737367544323206e-13
EAR160y,4.547473508864641e-13
3OAR160,4.547473508864641e-13
3HAD181,0.0
EAR100y,2.2737367544323206e-13
3OAR141,2.2737367544323206e-13
3OAR161,-2.2737367544323206e-13
3HAD141,0.0
EAR121x,0.0
EAR121y,0.0
ACONTa,-2.842170943040401e-14
3HAD40,0.0
3OAS60,1.1368683772161603e-13
3OAS160,-4.547473508864641e-13
3OAR60,2.2737367544323206e-13
3OAR80,2.2737367544323206e-13
EAR100x,2.2737367544323206e-13
EAR120x,2.2737367544323206e-13
EAR160x,4.547473508864641e-13
EAR140y,0.0
3OAS121,1.1368683772161603e-13
3OAS80,0.0
3OAS100,1.1368683772161603e-13
3OAS120,-2.2737367544323206e-13
3OAR40,2.2737367544323206e-13
3OAR100,2.2737367544323206e-13
3HAD60,-2.842170943040401e-14
3HAD100,0.0
3HAD140,0.0
3HAD160,-2.842170943040401e-14
EAR40x,4.547473508864641e-13
EAR60y,2.2737367544323206e-13
EAR60x,2.2737367544323206e-13
EAR80x,2.2737367544323206e-13
3OAR180,0.0
3OAS180,0.0
3HAD180,-2.842170943040401e-14
NADH16pp,40.44987562301117
NADH17pp,40.44987562301117
VPAMTr,2.842170943040401e-14
PIt2rpp,-2.36282405807421
PItpp,-11.120467816262895
SUCCt1pp,4.725648116148392
