,bigg.metabolite,biocyc_id
292,h2o,"['META:CPD-15815', 'META:OXONIUM', 'META:HYDROXYL-GROUP', 'META:WATER', 'META:OH']"
293,23dhdp,META:2-3-DIHYDRODIPICOLINATE
294,3mop,META:2-KETO-3-METHYL-VALERATE
295,dgtp,META:DGTP
296,rib__D,"['META:D-Ribofuranose', 'META:D-Ribopyranose']"
297,dcamp,META:ADENYLOSUCC
298,myrsACP,NA
299,ACP,META:ACP
300,palmACP,NA
301,succoa,META:SUC-COA
302,xyl__D,META:D-Xylopyranose
303,for,"['META:CPD1G-1532', 'META:CPD1G-1535', 'META:FORMATE', 'META:CPD-9845', 'META:CPD1G-1534', 'META:CARBOXYL-GROUP', 'META:CPD1G-1533']"
