reaction_id,equation
NDPK4,atp_c + dtdp_c <=> adp_c + dttp_c
ACODA,acorn_c + h2o_c --> ac_c + orn_c
ADSS,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c
ASNS2,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
ASPCT,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c
MCOATA,ACP_c + malcoa_c <=> coa_c + malACP_c
DAPE,26dap_LL_c <=> 26dap__M_c
DHDPRy,23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c
HSK,atp_c + hom__L_c --> adp_c + h_c + phom_c
SDPTA,akg_c + sl26da_c <=> glu__L_c + sl2a6o_c
THRS,h2o_c + phom_c --> pi_c + thr__L_c
HSST,hom__L_c + succoa_c --> coa_c + suchms_c
PPNDH,h_c + pphn_c --> co2_c + h2o_c + phpyr_c
DTMPK,atp_c + dtmp_c <=> adp_c + dtdp_c
NDPK1,atp_c + gdp_c <=> adp_c + gtp_c
TRDR,h_c + nadph_c + trdox_c --> nadp_c + trdrd_c
DDPA,e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
MALS,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
NADTRHD,nad_c + nadph_c --> nadh_c + nadp_c
G3PD2,glyc3p_c + nadp_c <=> dhap_c + h_c + nadph_c
GMPS2,atp_c + gln__L_c + h2o_c + xmp_c --> amp_c + glu__L_c + gmp_c + 2.0 h_c + ppi_c
P5CR,1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c
G5SADs,glu5sa_c --> 1pyr5c_c + h2o_c + h_c
AKGDH,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c
ATPPRT,atp_c + prpp_c --> ppi_c + prbatp_c
HISTD,h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c
DHDPS,aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c
IGPDH,eig3p_c --> h2o_c + imacp_c
PRPPS,atp_c + r5p_c <=> amp_c + h_c + prpp_c
PRATPP,h2o_c + prbatp_c --> h_c + ppi_c + prbamp_c
GLUN,gln__L_c + h2o_c --> glu__L_c + nh4_c
PRMICI,prfp_c <=> prlp_c
GLUPRT,gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
SERAT,accoa_c + ser__L_c <=> acser_c + coa_c
CYSS,acser_c + h2s_c --> ac_c + cys__L_c + h_c
BPNT,h2o_c + pap_c --> amp_c + pi_c
PAPSR,paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c
ASPK,asp__L_c + atp_c <=> 4pasp_c + adp_c
ASAD,aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c
DAPDC,26dap__M_c + h_c --> co2_c + lys__L_c
OCBT,cbp_c + orn_c <=> citr__L_c + h_c + pi_c
GARFT,10fthf_c + gar_c <=> fgam_c + h_c + thf_c
PHETA1,akg_c + phe__L_c <=> glu__L_c + phpyr_c
PPND,nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
PRAMPC,h2o_c + prbamp_c --> prfp_c
GLYCK2,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c
ACOTA,acorn_c + akg_c <=> acg5sa_c + glu__L_c
SULR,5.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c
PRAGSr,atp_c + gly_c + pram_c <=> adp_c + gar_c + h_c + pi_c
PRFGS,atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c
PSERT,3php_c + glu__L_c --> akg_c + pser__L_c
AIRC2,air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c
GAPD,g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c
GND,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c
G6PDH2r,g6p_c + nadp_c <=> 6pgl_c + h_c + nadph_c
ME2,mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c
ARGSL,argsuc_c <=> arg__L_c + fum_c
