,mean_norm_minimized
NADTRHD,-0.3130209361017824
G3PD2,20.036644655642494
GMPS2,-1.6143241055033286e-07
P5CR,-9.474893020758662
AKGDH,-28.903295470221906
ATPPRT,-38.55768856457169
HISTD,-23.37154451838469
DHDPS,-130.59541462289255
IGPDH,-42.02433250770407
PRPPS,-3.834019898313404
PRATPP,-56.86468553198807
GLUN,-14.448119757009204
PRMICI,-9.778607130926602
GLUPRT,-70.08796899971212
SERAT,-6.199700179246518
CYSS,-50.85227142439278
BPNT,-7.080044145954287
PAPSR,-51.475281070874814
ASPK,20.923451054590178
ASAD,-28.08032122483721
DAPDC,-11.824331789312572
OCBT,-31.78746484671291
GARFT,-0.6955807857953782
PHETA1,-0.40721377198355213
PPND,-10.957663631640104
PRAMPC,-44.410417607737315
GLYCK2,-13.090718366666549
ACOTA,-3.7678850732260227
SULR,-99.32333670283467
PRAGSr,-27.887567175332666
PRFGS,11.249863566938247
PSERT,-11.066799237800168
AIRC2,-59.12057739864859
GAPD,-1.8293512028162215
GND,10.39617020152157
G6PDH2r,-9.36177264438361
ME2,12.335045888683284
ARGSL,-8.668753526761407
CBPS,-22.55555221905026
GLU5K,29.49026729315587
IPPS,-28.792421211411337
ACOATA,8.549271845853259
ACtex,0.17813935106953238
ACALDtex,0.2373823852151986
PSP_L,-10.48316182917806
ADSK,-19.140585786113284
SUCCt2_2pp,21.155986231322657
HSDy,-16.734275551977827
CYSTL,0.7145040798642337
SHSL1,-67.24290963218164
SULabcpp,-32.29512732356031
GLUtex,0.47392767529311186
AKGt2rpp,21.127547648778574
XYLt2pp,52.81725873058184
GLYCtex,0.4747647052510615
Htex,0.0
PYRt2rpp,15.84537352871483
THD2pp,0.3130209361017824
TKT2,-10.590295310940693
ATPS4rpp,32.29513407673073
GK1,-0.09039633651500915
GLCNtex,0.6528085731192164
GLNtex,0.5929156733104151
O2tex,0.0
D_LACtex,0.2967469625147885
GLCtex_copy1,0.7121363246790224
FUMt2_2pp,10.564654530666786
PItex,0.0676943378320658
CYTBDpp,-187.07287064226838
CYTBD2pp,-402.55959299548954
ACt2rpp,15.849113047053962
METS,0.1734286179531026
FRUtex,0.7121455412862474
FUMtex,0.1187216266625768
PRASCSi,-83.42299132377605
MTHFC,-5.150906649718195
MTHFD,3.7903362131538065
XYLtex,0.5934548791922793
FORtppi,-5.283870919372738
PYRtex,0.17803944430396257
SO4tex,1.805622602546464e-07
SUCCtex,0.23815222405156078
GRXR,-23.35816468161073
RNDR1b,-13.757971196354532
RNDR2b,-9.600193273502711
MALt2_2pp,21.135540210962603
NH4tex,0.23596486523874205
RIBabcpp,20.519301119290784
GLYCAt2rpp,26.409070349828824
GLYCAtex,0.2967364149329228
GLNabcpp,20.36656964770682
CO2tex,0.0
GLUt2rpp,42.00352545038788
ACGK,25.7157177201597
GNK,-14.418661193307278
GLUDy,31.30429804523802
GLCNt2rpp,58.099334412456244
GLCptspp,17.684664409716795
HSTPT,9.72694728760162
THDPS,26.480195974065495
ATPM,-32.29513407673073
THRD_L,-23.699983047223444
ETOHtex,0.3560735778227979
RNDR2,-39.90207413503607
DHFR,-16.274413159849743
PRAIi,-9.784245364345438
TYRTA,-0.03950417231555152
SHKK,-28.037685081177358
GLUSy,-45.752417802247194
IG3PS,-44.41041667922792
PDH,-34.42528130947297
MTHFR2,-37.56913840288402
DUTPDP,-48.326632385783356
NTP5,-32.59931843948158
FORt2pp,5.283870919372738
GLNS,-17.84701431972159
ACGS,-27.832736405583297
SUCOAS,-1.6698556076648676
PRAIS,11.24986434778972
HISTP,-23.00616130851566
LDH_D,17.68178239587328
KAS15,20.66780186443139
T2DECAI,-1.3387607395998202e-06
3OAS161,12.114701851701287
