,drg0_mean
PGCD,77.03112498486007
MALtex,0.0
3OAS141,-36.40758969666621
3OAR121,-65.03889196246755
ADSL1r,4.915870940097534
AICART,7.5672335561966975
D_LACt2pp,0.0
RIBtex,0.0
FRUpts2pp,-45.826380302209714
FORtex,0.0
PFK,28.16788974130236
PGM,-4.672635605925507
CYTBO3_4pp,-187.14461878313858
EAR141x,-102.04530288866499
EAR141y,-105.62156562886503
EAR181x,-102.04530288866499
EAR181y,-105.62156562886503
TPI,5.595831523147126
RPI,4.50451728131884
3OAR120,-65.03889196246755
3HAD80,-0.4315888088281383
3HAD120,-0.4315888088281383
EAR180x,-102.04530288866499
AKGtex,0.0
SO4t2pp,0.0
EAR180y,-105.62156562886503
ACONTb,-1.8684131698373676
3HAD161,-0.4315888088281383
SUCDi,-73.63633447092042
ASNS1,52.07649473099127
EAR80y,-105.62156562886503
EAR120y,-105.62156562886503
3OAR181,-65.03889196246755
3HAD121,-0.4315888088281383
EAR140x,-102.04530288866499
3OAS181,-36.40758969666621
3OAS140,-36.40758969666621
3OAR140,-65.03889196246755
EAR160y,-105.62156562886503
3OAR160,-65.03889196246755
3HAD181,-0.4315888088281383
EAR100y,-105.62156562886503
3OAR141,-65.03889196246755
3OAR161,-65.03889196246755
3HAD141,-0.4315888088281383
EAR121x,-102.04530288866499
EAR121y,-105.62156562886503
ACONTa,7.004538137269037
3HAD40,-0.4315888088281383
3OAS60,-36.40758969666621
3OAS160,-36.40758969666621
3OAR60,-65.03889196246755
3OAR80,-65.03889196246755
EAR100x,-102.04530288866499
EAR120x,-102.04530288866499
EAR160x,-102.04530288866499
EAR140y,-105.62156562886503
3OAS121,-36.40758969666621
3OAS80,-36.40758969666621
3OAS100,-36.40758969666621
3OAS120,-36.40758969666621
3OAR40,-65.03889196246755
3OAR100,-65.03889196246755
3HAD60,-0.4315888088281383
3HAD100,-0.4315888088281383
3HAD140,-0.4315888088281383
3HAD160,-0.4315888088281383
EAR40x,-102.04530288866499
EAR60y,-105.62156562886503
EAR60x,-102.04530288866499
EAR80x,-102.04530288866499
3OAR180,-65.03889196246755
3OAS180,-36.40758969666621
3HAD180,-0.4315888088281383
NADH16pp,-177.59338068834523
NADH17pp,-69.63857952554065
VPAMTr,-1.3963290900693437
PIt2rpp,0.0
PItpp,0.0
SUCCt1pp,0.0
