,0
histd_c,-563.8020274288741
for_p,-40.91350009595574
orot_c,-130.57833365431853
glc__D_p,-492.11982513690884
q8_c,-3425.60978134375
orn_c,-610.0940515010869
dcaACP_c,-1797.0912002539806
3hcddec5eACP_c,-1889.6752483984064
tddec2eACP_c,-1889.6752483984064
fgam_c,-585.200835814127
cit_c,-206.5669046741042
skm5p_c,-345.4429768907427
oaa_c,-75.98857101978568
23dhmp_c,-500.9145262320213
fprica_c,-585.200835814127
glcn_e,-450.4570034719173
ac_p,-122.93347095210721
his__L_c,-416.62821664991554
so4_c,16.59547712464
6pgl_c,-400.03273952527553
2dda7p_c,-438.0270250351684
sl2a6o_c,-530.6110731795941
gtp_c,-522.3133346172741
so4_p,0.19297066424
succ_c,-168.57261916421135
aps_c,-538.9088117419142
thdp_c,-307.4486913808499
cdp_c,-530.6110731795941
glyc__R_e,-204.75318339632605
nadph_c,-1170.401671628254
acglu_c,-400.03273952527553
3hddecACP_c,-1982.259296542832
2obut_c,-223.16238179874418
cddec5eACP_c,-1889.6752483984064
glyc_c,-370.3361925777027
val__L_c,-509.21226479434125
pro__L_c,-416.62821664991554
cbasp_c,-261.15666730863705
mqn8_c,-3333.0257331993243
lac__D_p,-204.95344180825867
malACP_c,-1001.8290524640425
3hdecACP_c,-1797.0912002539806
cdec3eACP_c,-1704.507152109555
3hcmrs7eACP_c,-2074.8433446872577
glu__L_p,-327.9833980924859
3oddecACP_c,-1889.6752483984064
glyc__R_p,-204.95344180825867
3ooctdACP_c,-2445.179537264961
but2eACP_c,-1149.002863243001
pyr_c,-130.57833365431853
dump_c,-492.61678766970124
acon_C_c,-113.98285652967854
grxox_c,-0.0
icit_c,-206.5669046741042
lac__D_c,-223.16238179874418
nadh_c,-1233.2891728251068
amp_c,-538.9088117419142
3php_c,-67.69083245746569
dtdp_c,-576.9030972518069
dhf_c,-862.952980247404
for_c,-37.99428550989284
pi_e,-40.95063667926521
3opalmACP_c,-2260.0114409761095
3hcvac11eACP_c,-2445.179537264961
coa_c,-1448.153816061531
asn__L_c,-370.3361925777027
udp_c,-484.31904910738126
leu__L_c,-601.796312938767
25aics_c,-661.1894068339126
3omrsACP_c,-2074.8433446872577
acald_c,-185.16809628885136
3hmrsACP_c,-2167.4273928316834
pram_c,-500.9145262320213
3c4mop_c,-353.7407154530627
hcys__L_c,-416.62821664991554
mal__L_e,-163.80254671706084
co2_c,-0.0
pi_p,-40.817014763835736
fum_e,-81.90127335853042
acald_e,-163.80254671706084
etoh_p,-246.05991256845442
gthox_c,-1372.1652450417453
gar_c,-639.7905984486598
3haACP_c,-1241.5869113874267
3ooctACP_c,-1519.3390558207036
3ocmrs7eACP_c,-1982.259296542832
acg5p_c,-391.73500096295555
4pasp_c,-261.15666730863705
glu5p_c,-353.7407154530627
h2o_e,-81.90127335853042
23dhdp_c,-214.86464323642417
3mop_c,-408.33047808759557
dgtp_c,-522.3133346172741
rib__D_e,-409.5063667926521
dcamp_c,-614.8973827616998
myrsACP_c,-2167.4273928316834
ACP_c,-963.8347669541497
palmACP_c,-2352.595489120535
succoa_c,-1578.7321497158493
xyl__D_c,-462.92024072212837
for_e,-40.95063667926521
